"row_id","fold"
3,1
32,1
44,1
49,1
53,1
55,1
64,1
67,1
69,1
78,1
79,1
83,1
97,1
101,1
106,1
109,1
117,1
120,1
125,1
130,1
132,1
150,1
176,1
188,1
194,1
227,1
231,1
243,1
244,1
254,1
256,1
261,1
264,1
265,1
270,1
273,1
287,1
288,1
292,1
294,1
295,1
303,1
307,1
315,1
317,1
318,1
321,1
322,1
329,1
336,1
337,1
340,1
354,1
366,1
378,1
405,1
410,1
449,1
474,1
1,2
2,2
5,2
13,2
20,2
23,2
31,2
50,2
56,2
58,2
65,2
66,2
70,2
76,2
77,2
80,2
90,2
98,2
107,2
110,2
124,2
131,2
135,2
138,2
143,2
144,2
151,2
158,2
171,2
179,2
190,2
199,2
214,2
229,2
230,2
238,2
240,2
252,2
263,2
274,2
278,2
283,2
313,2
320,2
352,2
359,2
364,2
369,2
371,2
372,2
373,2
380,2
395,2
411,2
416,2
431,2
434,2
440,2
456,2
4,3
15,3
22,3
26,3
28,3
33,3
40,3
48,3
68,3
75,3
82,3
86,3
94,3
104,3
108,3
115,3
119,3
121,3
126,3
127,3
133,3
141,3
167,3
180,3
186,3
189,3
191,3
201,3
203,3
205,3
218,3
221,3
237,3
239,3
245,3
246,3
248,3
249,3
267,3
275,3
286,3
297,3
300,3
319,3
323,3
327,3
333,3
339,3
356,3
365,3
370,3
383,3
400,3
439,3
441,3
444,3
470,3
478,3
34,4
35,4
36,4
37,4
43,4
46,4
60,4
72,4
84,4
85,4
88,4
122,4
129,4
136,4
137,4
146,4
153,4
156,4
163,4
168,4
170,4
177,4
181,4
182,4
193,4
195,4
200,4
204,4
206,4
207,4
216,4
223,4
225,4
233,4
253,4
255,4
269,4
271,4
285,4
306,4
308,4
310,4
311,4
314,4
316,4
328,4
331,4
334,4
335,4
342,4
344,4
355,4
385,4
399,4
418,4
423,4
427,4
472,4
7,5
11,5
12,5
21,5
30,5
41,5
42,5
47,5
74,5
81,5
89,5
95,5
111,5
112,5
113,5
116,5
134,5
140,5
142,5
149,5
165,5
173,5
175,5
185,5
192,5
196,5
198,5
208,5
219,5
220,5
222,5
234,5
236,5
242,5
247,5
250,5
260,5
276,5
284,5
290,5
298,5
304,5
305,5
309,5
338,5
341,5
361,5
376,5
379,5
382,5
404,5
407,5
428,5
430,5
433,5
436,5
443,5
469,5
25,1
38,1
39,1
54,1
59,1
96,1
114,1
148,1
152,1
157,1
161,1
166,1
226,1
241,1
259,1
279,1
289,1
301,1
324,1
325,1
360,1
362,1
384,1
390,1
393,1
394,1
397,1
401,1
437,1
445,1
450,1
451,1
461,1
464,1
467,1
468,1
471,1
475,1
480,1
481,1
14,2
17,2
18,2
24,2
27,2
29,2
57,2
73,2
91,2
103,2
159,2
160,2
212,2
213,2
228,2
262,2
272,2
299,2
302,2
330,2
343,2
346,2
349,2
351,2
353,2
358,2
368,2
386,2
389,2
398,2
406,2
413,2
421,2
442,2
453,2
454,2
466,2
477,2
488,2
8,3
9,3
19,3
62,3
71,3
87,3
93,3
100,3
102,3
139,3
145,3
169,3
183,3
187,3
224,3
232,3
257,3
258,3
268,3
282,3
345,3
374,3
396,3
403,3
408,3
414,3
415,3
417,3
424,3
425,3
429,3
432,3
438,3
457,3
458,3
459,3
460,3
465,3
476,3
6,4
10,4
16,4
45,4
52,4
63,4
92,4
105,4
118,4
162,4
174,4
178,4
202,4
209,4
235,4
251,4
277,4
281,4
291,4
312,4
363,4
367,4
387,4
388,4
391,4
409,4
412,4
420,4
422,4
435,4
447,4
448,4
455,4
479,4
482,4
483,4
484,4
485,4
487,4
51,5
61,5
99,5
123,5
128,5
147,5
154,5
155,5
164,5
172,5
184,5
197,5
210,5
211,5
215,5
217,5
266,5
280,5
293,5
296,5
326,5
332,5
347,5
348,5
350,5
357,5
375,5
377,5
381,5
392,5
402,5
419,5
426,5
446,5
452,5
462,5
463,5
473,5
486,5
