"set","iteration","row_id"
"train",1,14
"train",1,23
"train",1,33
"train",1,35
"train",1,38
"train",1,47
"train",1,49
"train",1,56
"train",1,73
"train",1,78
"train",1,79
"train",1,82
"train",1,90
"train",1,91
"train",1,98
"train",1,105
"train",1,114
"train",1,121
"train",1,122
"train",1,143
"train",1,147
"train",1,167
"train",1,173
"train",1,182
"train",1,185
"train",1,188
"train",1,208
"train",1,209
"train",1,224
"train",1,231
"train",1,238
"train",1,239
"train",1,245
"train",1,259
"train",1,260
"train",1,265
"train",1,270
"train",1,277
"train",1,282
"train",1,2
"train",1,7
"train",1,29
"train",1,41
"train",1,48
"train",1,59
"train",1,72
"train",1,74
"train",1,75
"train",1,80
"train",1,102
"train",1,106
"train",1,110
"train",1,124
"train",1,128
"train",1,130
"train",1,132
"train",1,151
"train",1,155
"train",1,159
"train",1,174
"train",1,175
"train",1,178
"train",1,184
"train",1,186
"train",1,187
"train",1,191
"train",1,192
"train",1,194
"train",1,195
"train",1,199
"train",1,201
"train",1,202
"train",1,225
"train",1,228
"train",1,247
"train",1,258
"train",1,276
"train",1,279
"train",1,4
"train",1,5
"train",1,13
"train",1,22
"train",1,24
"train",1,32
"train",1,40
"train",1,62
"train",1,65
"train",1,83
"train",1,93
"train",1,96
"train",1,113
"train",1,140
"train",1,141
"train",1,142
"train",1,144
"train",1,157
"train",1,162
"train",1,163
"train",1,164
"train",1,169
"train",1,197
"train",1,203
"train",1,206
"train",1,213
"train",1,218
"train",1,219
"train",1,220
"train",1,229
"train",1,234
"train",1,237
"train",1,251
"train",1,253
"train",1,261
"train",1,262
"train",1,264
"train",1,271
"train",1,280
"train",1,11
"train",1,15
"train",1,18
"train",1,19
"train",1,27
"train",1,28
"train",1,42
"train",1,45
"train",1,53
"train",1,54
"train",1,57
"train",1,60
"train",1,63
"train",1,64
"train",1,68
"train",1,76
"train",1,86
"train",1,103
"train",1,111
"train",1,116
"train",1,126
"train",1,129
"train",1,134
"train",1,137
"train",1,145
"train",1,154
"train",1,158
"train",1,171
"train",1,176
"train",1,189
"train",1,190
"train",1,204
"train",1,211
"train",1,217
"train",1,233
"train",1,240
"train",1,244
"train",1,252
"train",1,272
"train",1,9
"train",1,26
"train",1,30
"train",1,67
"train",1,115
"train",1,127
"train",1,136
"train",1,138
"train",1,172
"train",1,183
"train",1,193
"train",1,222
"train",1,232
"train",1,241
"train",1,266
"train",1,267
"train",1,275
"train",1,278
"train",1,34
"train",1,44
"train",1,61
"train",1,85
"train",1,94
"train",1,101
"train",1,107
"train",1,119
"train",1,125
"train",1,146
"train",1,152
"train",1,153
"train",1,177
"train",1,205
"train",1,214
"train",1,254
"train",1,268
"train",1,284
"train",1,3
"train",1,21
"train",1,37
"train",1,46
"train",1,51
"train",1,52
"train",1,55
"train",1,77
"train",1,117
"train",1,133
"train",1,139
"train",1,198
"train",1,246
"train",1,249
"train",1,250
"train",1,256
"train",1,281
"train",1,17
"train",1,36
"train",1,66
"train",1,71
"train",1,84
"train",1,95
"train",1,108
"train",1,120
"train",1,131
"train",1,149
"train",1,168
"train",1,212
"train",1,235
"train",1,236
"train",1,269
"train",1,274
"train",1,283
"train",2,1
"train",2,8
"train",2,10
"train",2,12
"train",2,20
"train",2,25
"train",2,31
"train",2,50
"train",2,58
"train",2,69
"train",2,87
"train",2,88
"train",2,92
"train",2,97
"train",2,100
"train",2,104
"train",2,109
"train",2,112
"train",2,118
"train",2,123
"train",2,135
"train",2,150
"train",2,160
"train",2,161
"train",2,165
"train",2,170
"train",2,180
"train",2,196
"train",2,200
