set,iteration,row_id
train,1,4
train,1,9
train,1,11
train,1,12
train,1,13
train,1,16
train,1,19
train,1,26
train,1,29
train,1,31
train,1,32
train,1,34
train,1,35
train,1,37
train,1,45
train,1,49
train,1,50
train,1,54
train,1,56
train,1,60
train,1,67
train,1,76
train,1,78
train,1,80
train,1,83
train,1,84
train,1,85
train,1,91
train,1,94
train,1,95
train,1,99
train,1,102
train,1,119
train,1,122
train,1,123
train,1,126
train,1,127
train,1,129
train,1,130
train,1,134
train,1,137
train,1,141
train,1,143
train,1,144
train,1,147
train,1,154
train,1,155
train,1,159
train,1,160
train,1,169
train,1,179
train,1,181
train,1,182
train,1,192
train,1,197
train,1,202
train,1,203
train,1,206
train,1,213
train,1,223
train,1,226
train,1,228
train,1,230
train,1,233
train,1,235
train,1,236
train,1,237
train,1,241
train,1,251
train,1,256
train,1,266
train,1,269
train,1,277
train,1,283
train,1,289
train,1,290
train,1,291
train,1,300
train,1,304
train,1,310
train,1,311
train,1,314
train,1,318
train,1,323
train,1,337
train,1,342
train,1,343
train,1,349
train,1,354
train,1,17
train,1,23
train,1,24
train,1,30
train,1,69
train,1,93
train,1,97
train,1,107
train,1,121
train,1,131
train,1,133
train,1,164
train,1,173
train,1,189
train,1,190
train,1,217
train,1,220
train,1,239
train,1,242
train,1,253
train,1,267
train,1,293
train,1,317
train,1,319
train,1,324
train,1,326
train,1,339
train,1,344
train,1,347
train,1,351
train,1,357
train,1,1
train,1,2
train,1,3
train,1,5
train,1,6
train,1,14
train,1,27
train,1,28
train,1,36
train,1,41
train,1,42
train,1,44
train,1,47
train,1,48
train,1,52
train,1,53
train,1,55
train,1,57
train,1,64
train,1,66
train,1,73
train,1,75
train,1,88
train,1,98
train,1,108
train,1,109
train,1,112
train,1,113
train,1,114
train,1,115
train,1,116
train,1,135
train,1,140
train,1,146
train,1,149
train,1,153
train,1,156
train,1,157
train,1,165
train,1,170
train,1,171
train,1,174
train,1,180
train,1,186
train,1,187
train,1,191
train,1,194
train,1,199
train,1,204
train,1,205
train,1,209
train,1,211
train,1,214
train,1,216
train,1,218
train,1,219
train,1,243
train,1,245
train,1,248
train,1,249
train,1,254
train,1,259
train,1,261
train,1,263
train,1,264
train,1,271
train,1,272
train,1,273
train,1,276
train,1,279
train,1,280
train,1,282
train,1,287
train,1,294
train,1,295
train,1,296
train,1,297
train,1,299
train,1,305
train,1,309
train,1,312
train,1,320
train,1,322
train,1,329
train,1,330
train,1,332
train,1,333
train,1,358
train,1,21
train,1,22
train,1,40
train,1,74
train,1,81
train,1,82
train,1,110
train,1,124
train,1,145
train,1,175
train,1,185
train,1,193
train,1,196
train,1,198
train,1,210
train,1,221
train,1,224
train,1,225
train,1,252
train,1,260
train,1,288
train,1,303
train,1,327
train,1,331
train,1,335
train,1,338
train,1,346
train,1,350
train,1,353
train,1,355
train,2,7
train,2,15
train,2,18
train,2,20
train,2,25
train,2,33
train,2,39
train,2,43
train,2,46
train,2,51
train,2,58
train,2,59
train,2,61
train,2,62
train,2,63
train,2,65
train,2,68
train,2,70
train,2,71
train,2,72
train,2,77
train,2,87
train,2,89
train,2,90
train,2,92
train,2,96
train,2,100
train,2,103
train,2,104
train,2,105
train,2,117
train,2,118
train,2,125
train,2,128
train,2,132
train,2,136
train,2,138
train,2,139
train,2,148
train,2,150
train,2,151
train,2,152
train,2,158
train,2,161
train,2,163
train,2,166
train,2,167
train,2,168
train,2,172
train,2,176
train,2,177
train,2,178
train,2,183
train,2,184
train,2,200
train,2,201
train,2,208
train,2,212
train,2,215
train,2,222
train,2,227
train,2,229
train,2,234
train,2,244
train,2,250
train,2,257
train,2,258
train,2,262
train,2,265
train,2,268
train,2,270
train,2,274
train,2,275
train,2,281
train,2,285
train,2,292
train,2,298
train,2,301
train,2,302
train,2,307
train,2,315
train,2,316
train,2,325
train,2,334
train,2,336
train,2,340
train,2,341
train,2,345
train,2,348
train,2,8
train,2,10
train,2,38
train,2,79
train,2,86
train,2,101
train,2,106
train,2,111
train,2,120
train,2,142
train,2,162
train,2,188
train,2,195
train,2,207
train,2,231
train,2,232
train,2,238
train,2,240
train,2,246
train,2,247
train,2,255
train,2,278
train,2,284
train,2,286
train,2,306
train,2,308
train,2,313
train,2,321
train,2,328
train,2,352
train,2,356
train,2,1
train,2,2
train,2,3
train,2,5
train,2,6
train,2,14
train,2,27
train,2,28
train,2,36
train,2,41
train,2,42
train,2,44
train,2,47
train,2,48
train,2,52
train,2,53
train,2,55
train,2,57
train,2,64
train,2,66
train,2,73
train,2,75
train,2,88
train,2,98
train,2,108
train,2,109
train,2,112
train,2,113
train,2,114
train,2,115
train,2,116
train,2,135
train,2,140
train,2,146
train,2,149
train,2,153
train,2,156
train,2,157
train,2,165
train,2,170
train,2,171
train,2,174
train,2,180
train,2,186
train,2,187
train,2,191
train,2,194
train,2,199
train,2,204
train,2,205
train,2,209
train,2,211
train,2,214
train,2,216
train,2,218
train,2,219
train,2,243
train,2,245
train,2,248
train,2,249
train,2,254
train,2,259
train,2,261
train,2,263
train,2,264
train,2,271
train,2,272
train,2,273
train,2,276
train,2,279
train,2,280
train,2,282
train,2,287
train,2,294
train,2,295
train,2,296
train,2,297
train,2,299
train,2,305
train,2,309
train,2,312
train,2,320
train,2,322
train,2,329
train,2,330
train,2,332
train,2,333
train,2,358
train,2,21
train,2,22
train,2,40
train,2,74
train,2,81
train,2,82
train,2,110
train,2,124
train,2,145
train,2,175
train,2,185
train,2,193
train,2,196
train,2,198
train,2,210
train,2,221
train,2,224
train,2,225
train,2,252
train,2,260
train,2,288
train,2,303
train,2,327
train,2,331
train,2,335
train,2,338
train,2,346
train,2,350
train,2,353
train,2,355
train,3,7
train,3,15
train,3,18
train,3,20
train,3,25
train,3,33
train,3,39
train,3,43
train,3,46
train,3,51
train,3,58
train,3,59
train,3,61
train,3,62
train,3,63
train,3,65
train,3,68
train,3,70
train,3,71
train,3,72
train,3,77
train,3,87
train,3,89
train,3,90
train,3,92
train,3,96
train,3,100
train,3,103
train,3,104
train,3,105
train,3,117
train,3,118
train,3,125
train,3,128
train,3,132
train,3,136
train,3,138
train,3,139
train,3,148
train,3,150
train,3,151
train,3,152
train,3,158
train,3,161
train,3,163
train,3,166
train,3,167
train,3,168
train,3,172
train,3,176
train,3,177
train,3,178
train,3,183
train,3,184
train,3,200
train,3,201
train,3,208
train,3,212
train,3,215
train,3,222
train,3,227
train,3,229
train,3,234
train,3,244
train,3,250
train,3,257
train,3,258
train,3,262
train,3,265
train,3,268
train,3,270
train,3,274
train,3,275
train,3,281
train,3,285
train,3,292
train,3,298
train,3,301
train,3,302
train,3,307
train,3,315
train,3,316
train,3,325
train,3,334
train,3,336
train,3,340
train,3,341
train,3,345
train,3,348
train,3,8
train,3,10
train,3,38
train,3,79
train,3,86
train,3,101
train,3,106
train,3,111
train,3,120
train,3,142
train,3,162
train,3,188
train,3,195
train,3,207
train,3,231
train,3,232
train,3,238
train,3,240
train,3,246
train,3,247
train,3,255
train,3,278
train,3,284
train,3,286
train,3,306
train,3,308
train,3,313
train,3,321
train,3,328
train,3,352
train,3,356
train,3,4
train,3,9
train,3,11
train,3,12
train,3,13
train,3,16
train,3,19
train,3,26
train,3,29
train,3,31
train,3,32
train,3,34
train,3,35
train,3,37
train,3,45
train,3,49
train,3,50
train,3,54
train,3,56
train,3,60
train,3,67
train,3,76
train,3,78
train,3,80
train,3,83
train,3,84
train,3,85
train,3,91
train,3,94
train,3,95
train,3,99
train,3,102
train,3,119
train,3,122
train,3,123
train,3,126
train,3,127
train,3,129
train,3,130
train,3,134
train,3,137
train,3,141
train,3,143
train,3,144
train,3,147
train,3,154
train,3,155
train,3,159
train,3,160
train,3,169
train,3,179
train,3,181
train,3,182
train,3,192
train,3,197
train,3,202
train,3,203
train,3,206
train,3,213
train,3,223
train,3,226
train,3,228
train,3,230
train,3,233
train,3,235
train,3,236
train,3,237
train,3,241
train,3,251
train,3,256
train,3,266
train,3,269
train,3,277
train,3,283
train,3,289
train,3,290
train,3,291
train,3,300
train,3,304
train,3,310
train,3,311
train,3,314
train,3,318
train,3,323
train,3,337
train,3,342
train,3,343
train,3,349
train,3,354
train,3,17
train,3,23
train,3,24
train,3,30
train,3,69
train,3,93
train,3,97
train,3,107
train,3,121
train,3,131
train,3,133
train,3,164
train,3,173
train,3,189
train,3,190
train,3,217
train,3,220
train,3,239
train,3,242
train,3,253
train,3,267
train,3,293
train,3,317
train,3,319
train,3,324
train,3,326
train,3,339
train,3,344
train,3,347
train,3,351
train,3,357
train,4,2
train,4,6
train,4,12
train,4,16
train,4,18
train,4,25
train,4,29
train,4,31
train,4,32
train,4,36
train,4,43
train,4,44
train,4,45
train,4,52
train,4,54
train,4,57
train,4,61
train,4,64
train,4,65
train,4,75
train,4,78
train,4,80
train,4,87
train,4,88
train,4,94
train,4,95
train,4,96
train,4,103
train,4,104
train,4,112
train,4,114
train,4,117
train,4,119
train,4,122
train,4,125
train,4,126
train,4,129
train,4,135
train,4,137
train,4,138
train,4,141
train,4,143
train,4,148
train,4,152
train,4,158
train,4,159
train,4,171
train,4,172
train,4,174
train,4,182
train,4,197
train,4,199
train,4,201
train,4,204
train,4,211
train,4,212
train,4,213
train,4,214
train,4,222
train,4,227
train,4,228
train,4,235
train,4,237
train,4,241
train,4,254
train,4,259
train,4,262
train,4,263
train,4,264
train,4,265
train,4,268
train,4,269
train,4,271
train,4,272
train,4,276
train,4,277
train,4,285
train,4,292
train,4,295
train,4,296
train,4,302
train,4,315
train,4,318
train,4,323
train,4,329
train,4,330
train,4,333
train,4,334
train,4,336
train,4,10
train,4,17
train,4,79
train,4,86
train,4,101
train,4,107
train,4,110
train,4,120
train,4,142
train,4,175
train,4,190
train,4,210
train,4,220
train,4,246
train,4,252
train,4,253
train,4,260
train,4,284
train,4,286
train,4,288
train,4,293
train,4,308
train,4,319
train,4,331
train,4,335
train,4,338
train,4,344
train,4,346
train,4,352
train,4,355
train,4,356
train,4,1
train,4,4
train,4,9
train,4,11
train,4,15
train,4,19
train,4,27
train,4,28
train,4,33
train,4,34
train,4,35
train,4,37
train,4,39
train,4,41
train,4,42
train,4,49
train,4,51
train,4,56
train,4,59
train,4,60
train,4,63
train,4,66
train,4,67
train,4,71
train,4,73
train,4,76
train,4,83
train,4,84
train,4,90
train,4,91
train,4,92
train,4,99
train,4,102
train,4,108
train,4,113
train,4,118
train,4,123
train,4,127
train,4,128
train,4,130
train,4,132
train,4,134
train,4,136
train,4,140
train,4,146
train,4,149
train,4,150
train,4,151
train,4,153
train,4,156
train,4,161
train,4,163
train,4,167
train,4,169
train,4,176
train,4,177
train,4,178
train,4,180
train,4,181
train,4,183
train,4,202
train,4,203
train,4,205
train,4,209
train,4,215
train,4,216
train,4,218
train,4,223
train,4,226
train,4,236
train,4,248
train,4,249
train,4,251
train,4,266
train,4,270
train,4,279
train,4,280
train,4,289
train,4,305
train,4,309
train,4,310
train,4,311
train,4,320
train,4,322
train,4,332
train,4,337
train,4,343
train,4,348
train,4,21
train,4,22
train,4,23
train,4,38
train,4,69
train,4,82
train,4,93
train,4,111
train,4,121
train,4,124
train,4,162
