"set","iteration","row_id"
"train",1,11
"train",1,17
"train",1,24
"train",1,30
"train",1,43
"train",1,54
"train",1,61
"train",1,72
"train",1,74
"train",1,75
"train",1,92
"train",1,95
"train",1,97
"train",1,107
"train",1,108
"train",1,114
"train",1,147
"train",1,150
"train",1,156
"train",1,160
"train",1,170
"train",1,176
"train",1,216
"train",1,219
"train",1,221
"train",1,243
"train",1,249
"train",1,250
"train",1,252
"train",1,255
"train",1,260
"train",1,267
"train",1,279
"train",1,291
"train",1,301
"train",1,302
"train",1,313
"train",1,321
"train",1,322
"train",1,330
"train",1,335
"train",1,336
"train",1,339
"train",1,346
"train",1,362
"train",1,369
"train",1,374
"train",1,382
"train",1,385
"train",1,398
"train",1,422
"train",1,427
"train",1,431
"train",1,432
"train",1,440
"train",1,442
"train",1,446
"train",1,449
"train",1,450
"train",1,451
"train",1,467
"train",1,481
"train",1,483
"train",1,486
"train",1,497
"train",1,509
"train",1,526
"train",1,560
"train",1,571
"train",1,573
"train",1,576
"train",1,592
"train",1,623
"train",1,628
"train",1,636
"train",1,654
"train",1,670
"train",1,672
"train",1,673
"train",1,676
"train",1,679
"train",1,685
"train",1,693
"train",1,699
"train",1,710
"train",1,711
"train",1,718
"train",1,736
"train",1,744
"train",1,753
"train",1,759
"train",1,761
"train",1,770
"train",1,772
"train",1,773
"train",1,774
"train",1,781
"train",1,786
"train",1,799
"train",1,801
"train",1,804
"train",1,846
"train",1,850
"train",1,863
"train",1,869
"train",1,876
"train",1,8
"train",1,13
"train",1,16
"train",1,19
"train",1,23
"train",1,32
"train",1,39
"train",1,40
"train",1,44
"train",1,48
"train",1,52
"train",1,56
"train",1,57
"train",1,66
"train",1,84
"train",1,116
"train",1,122
"train",1,124
"train",1,129
"train",1,152
"train",1,165
"train",1,177
"train",1,187
"train",1,197
"train",1,205
"train",1,206
"train",1,210
"train",1,213
"train",1,236
"train",1,253
"train",1,265
"train",1,270
"train",1,298
"train",1,303
"train",1,304
"train",1,325
"train",1,331
"train",1,342
"train",1,343
"train",1,352
"train",1,357
"train",1,359
"train",1,366
"train",1,378
"train",1,388
"train",1,389
"train",1,400
"train",1,407
"train",1,414
"train",1,415
"train",1,416
"train",1,425
"train",1,430
"train",1,435
"train",1,458
"train",1,475
"train",1,491
"train",1,500
"train",1,501
"train",1,508
"train",1,513
"train",1,514
"train",1,515
"train",1,519
"train",1,522
"train",1,523
"train",1,532
"train",1,533
"train",1,537
"train",1,551
"train",1,556
"train",1,564
"train",1,570
"train",1,594
"train",1,596
"train",1,617
"train",1,629
"train",1,630
"train",1,633
"train",1,653
"train",1,660
"train",1,664
"train",1,674
"train",1,686
"train",1,688
"train",1,708
"train",1,719
"train",1,737
"train",1,741
"train",1,750
"train",1,762
"train",1,768
"train",1,771
"train",1,796
"train",1,797
"train",1,805
"train",1,809
"train",1,811
"train",1,817
"train",1,821
"train",1,832
"train",1,838
"train",1,847
"train",1,857
"train",1,872
"train",1,875
"train",1,6
"train",1,7
"train",1,9
"train",1,12
"train",1,36
"train",1,47
"train",1,65
"train",1,67
"train",1,71
"train",1,87
"train",1,90
"train",1,96
"train",1,99
"train",1,112
"train",1,113
"train",1,117
"train",1,118
"train",1,121
"train",1,139
"train",1,140
"train",1,141
"train",1,144
"train",1,149
"train",1,155
"train",1,167
"train",1,168
"train",1,174
"train",1,179
"train",1,211
"train",1,223
"train",1,225
"train",1,226
"train",1,244
"train",1,247
"train",1,262
"train",1,263
"train",1,271
"train",1,273
"train",1,275
"train",1,281
"train",1,286
"train",1,287
"train",1,323
"train",1,338
"train",1,353
"train",1,355
"train",1,358
"train",1,364
"train",1,365
"train",1,386
"train",1,392
"train",1,399
"train",1,404
"train",1,426
"train",1,428
"train",1,436
"train",1,439
"train",1,441
"train",1,443
"train",1,461
"train",1,463
"train",1,482
"train",1,488
"train",1,490
"train",1,495
"train",1,503
"train",1,504
"train",1,505
"train",1,506
"train",1,511
"train",1,541
"train",1,542
"train",1,550
"train",1,552
"train",1,586
"train",1,605
"train",1,608
"train",1,611
"train",1,615
"train",1,626
"train",1,632
"train",1,639
"train",1,644
"train",1,675
"train",1,682
"train",1,684
"train",1,702
"train",1,705
"train",1,712
"train",1,723
"train",1,731
"train",1,789
"train",1,792
"train",1,800
"train",1,806
"train",1,814
"train",1,816
"train",1,824
"train",1,831
"train",1,834
"train",1,836
"train",1,845
"train",1,848
"train",1,859
"train",1,866
"train",1,874
"train",1,1
"train",1,2
"train",1,21
"train",1,25
"train",1,28
"train",1,33
"train",1,59
"train",1,60
"train",1,68
"train",1,70
"train",1,80
"train",1,82
"train",1,83
"train",1,93
"train",1,102
"train",1,104
"train",1,126
"train",1,128
"train",1,151
"train",1,162
"train",1,164
"train",1,169
"train",1,180
"train",1,190
"train",1,192
"train",1,193
"train",1,194
"train",1,201
"train",1,202
"train",1,203
"train",1,208
"train",1,220
"train",1,224
"train",1,228
"train",1,231
"train",1,232
"train",1,239
"train",1,246
"train",1,251
"train",1,254
"train",1,257
"train",1,264
"train",1,276
"train",1,296
"train",1,311
"train",1,312
"train",1,327
"train",1,329
"train",1,332
"train",1,333
"train",1,356
"train",1,361
"train",1,395
"train",1,412
"train",1,413
"train",1,419
"train",1,421
"train",1,424
"train",1,433
"train",1,453
"train",1,455
"train",1,472
"train",1,493
"train",1,499
"train",1,502
"train",1,516
"train",1,525
"train",1,529
"train",1,538
"train",1,540
"train",1,548
"train",1,558
"train",1,562
"train",1,569
"train",1,580
"train",1,590
"train",1,602
"train",1,618
"train",1,627
"train",1,631
"train",1,645
"train",1,659
"train",1,683
"train",1,691
"train",1,695
"train",1,700
"train",1,720
"train",1,724
"train",1,730
"train",1,742
"train",1,748
"train",1,775
"train",1,777
"train",1,788
"train",1,793
"train",1,795
"train",1,812
"train",1,818
"train",1,825
"train",1,827
"train",1,839
"train",1,851
"train",1,856
"train",1,858
"train",1,870
"train",1,871
"train",1,14
"train",1,62
"train",1,85
"train",1,91
"train",1,100
"train",1,101
"train",1,127
"train",1,133
"train",1,134
"train",1,142
"train",1,143
"train",1,145
"train",1,153
"train",1,178
"train",1,184
"train",1,185
"train",1,195
"train",1,204
"train",1,238
"train",1,242
"train",1,261
"train",1,266
"train",1,299
"train",1,306
"train",1,317
"train",1,340
"train",1,341
"train",1,350
"train",1,351
"train",1,354
"train",1,368
"train",1,401
"train",1,402
"train",1,410
"train",1,460
"train",1,473
"train",1,484
"train",1,485
"train",1,512
"train",1,517
"train",1,539
"train",1,543
"train",1,554
"train",1,565
"train",1,575
"train",1,597
"train",1,614
"train",1,648
"train",1,692
"train",1,704
"train",1,707
"train",1,713
"train",1,717
"train",1,733
"train",1,734
"train",1,743
"train",1,746
"train",1,755
"train",1,757
"train",1,767
"train",1,776
"train",1,779
"train",1,787
"train",1,790
"train",1,798
"train",1,815
"train",1,819
"train",1,822
"train",1,826
"train",1,829
"train",1,10
"train",1,20
"train",1,31
"train",1,34
"train",1,37
"train",1,41
"train",1,49
"train",1,58
"train",1,64
"train",1,78
"train",1,81
"train",1,86
"train",1,88
"train",1,120
"train",1,131
"train",1,135
"train",1,159
"train",1,182
"train",1,233
"train",1,248
"train",1,269
"train",1,272
"train",1,283
"train",1,284
"train",1,285
"train",1,318
"train",1,337
"train",1,373
"train",1,393
"train",1,405
"train",1,411
"train",1,418
"train",1,448
"train",1,462
"train",1,465
"train",1,469
"train",1,479
"train",1,498
"train",1,549
"train",1,555
"train",1,559
"train",1,584
"train",1,589
"train",1,604
"train",1,635
"train",1,643
"train",1,647
"train",1,655
"train",1,662
"train",1,663
"train",1,665
"train",1,667
"train",1,687
"train",1,694
"train",1,696
"train",1,706
"train",1,715
"train",1,721
"train",1,739
"train",1,778
"train",1,785
"train",1,794
"train",1,807
"train",1,810
"train",1,828
"train",1,842
"train",1,852
"train",1,865
"train",1,867
"train",1,4
"train",1,5
"train",1,35
"train",1,42
"train",1,55
"train",1,98
"train",1,103
"train",1,105
"train",1,109
"train",1,115
"train",1,163
"train",1,166
"train",1,173
"train",1,188
"train",1,189
"train",1,196
"train",1,214
"train",1,217
"train",1,235
"train",1,245
"train",1,268
"train",1,289
"train",1,294
"train",1,297
"train",1,300
"train",1,309
"train",1,314
"train",1,324
"train",1,326
"train",1,349
"train",1,371
"train",1,380
"train",1,391
"train",1,403
"train",1,445
"train",1,466
"train",1,487
"train",1,492
"train",1,507
"train",1,521
"train",1,527
"train",1,530
"train",1,531
"train",1,563
"train",1,568
"train",1,582
"train",1,585
"train",1,593
"train",1,595
"train",1,600
"train",1,616
"train",1,619
"train",1,624
"train",1,668
"train",1,669
"train",1,671
