set,iteration,row_id
train,1,13
train,1,15
train,1,20
train,1,26
train,1,31
train,1,34
train,1,40
train,1,44
train,1,46
train,1,47
train,1,48
train,1,50
train,1,53
train,1,55
train,1,64
train,1,65
train,1,69
train,1,70
train,1,72
train,1,76
train,1,80
train,1,82
train,1,88
train,1,89
train,1,110
train,1,115
train,1,116
train,1,119
train,1,120
train,1,131
train,1,136
train,1,138
train,1,140
train,1,142
train,1,149
train,1,153
train,1,156
train,1,167
train,1,170
train,1,176
train,1,177
train,1,179
train,1,185
train,1,186
train,1,188
train,1,191
train,1,195
train,1,198
train,1,200
train,1,201
train,1,204
train,1,219
train,1,221
train,1,242
train,1,245
train,1,246
train,1,249
train,1,250
train,1,252
train,1,256
train,1,260
train,1,261
train,1,267
train,1,270
train,1,273
train,1,278
train,1,284
train,1,285
train,1,288
train,1,294
train,1,311
train,1,313
train,1,314
train,1,319
train,1,322
train,1,337
train,1,356
train,1,364
train,1,366
train,1,369
train,1,370
train,1,373
train,1,380
train,1,382
train,1,383
train,1,400
train,1,407
train,1,410
train,1,416
train,1,418
train,1,427
train,1,434
train,1,443
train,1,449
train,1,469
train,1,472
train,1,478
train,1,6
train,1,9
train,1,10
train,1,14
train,1,24
train,1,27
train,1,59
train,1,71
train,1,73
train,1,87
train,1,92
train,1,96
train,1,102
train,1,154
train,1,164
train,1,178
train,1,202
train,1,209
train,1,210
train,1,211
train,1,213
train,1,224
train,1,235
train,1,241
train,1,258
train,1,266
train,1,272
train,1,281
train,1,296
train,1,301
train,1,302
train,1,326
train,1,347
train,1,348
train,1,349
train,1,351
train,1,358
train,1,367
train,1,368
train,1,375
train,1,381
train,1,388
train,1,391
train,1,406
train,1,412
train,1,414
train,1,415
train,1,417
train,1,419
train,1,420
train,1,424
train,1,426
train,1,442
train,1,448
train,1,450
train,1,452
train,1,458
train,1,461
train,1,467
train,1,473
train,1,475
train,1,482
train,1,483
train,1,484
train,1,486
train,1,1
train,1,2
train,1,5
train,1,7
train,1,11
train,1,21
train,1,22
train,1,23
