set,iteration,row_id
train,1,1
train,1,3
train,1,4
train,1,5
train,1,6
train,1,8
train,1,28
train,1,37
train,1,56
train,1,64
train,1,74
train,1,80
train,1,88
train,1,97
train,1,102
train,1,105
train,1,117
train,1,120
train,1,124
train,1,127
train,1,129
train,1,143
train,1,148
train,1,184
train,1,208
train,1,214
train,1,218
train,1,241
train,1,246
train,1,249
train,1,254
train,1,262
train,1,273
train,1,276
train,1,281
train,1,289
train,1,290
train,1,292
train,1,311
train,1,312
train,1,321
train,1,350
train,1,365
train,1,385
train,1,390
train,1,391
train,1,455
train,1,459
train,1,469
train,1,473
train,1,505
train,1,521
train,1,524
train,1,531
train,1,535
train,1,545
train,1,571
train,1,574
train,1,576
train,1,580
train,1,581
train,1,583
train,1,598
train,1,612
train,1,614
train,1,619
train,1,631
train,1,644
train,1,659
train,1,705
train,1,707
train,1,718
train,1,723
train,1,733
train,1,745
train,1,747
train,1,770
train,1,783
train,1,790
train,1,813
train,1,822
train,1,833
train,1,834
train,1,843
train,1,851
train,1,853
train,1,866
train,1,873
train,1,878
train,1,881
train,1,882
train,1,883
train,1,894
train,1,905
train,1,912
train,1,930
train,1,939
train,1,941
train,1,948
train,1,950
train,1,968
train,1,981
train,1,995
train,1,1008
train,1,1028
train,1,1035
train,1,1037
train,1,1052
train,1,1053
train,1,1056
train,1,1058
train,1,1062
train,1,1064
train,1,1078
train,1,1081
train,1,1086
train,1,1091
train,1,1095
train,1,1107
train,1,1112
train,1,1131
train,1,1151
train,1,1159
train,1,1172
train,1,1195
train,1,1219
train,1,1222
train,1,1224
train,1,1226
train,1,1228
train,1,1232
train,1,1235
train,1,1242
train,1,1256
train,1,1270
train,1,1274
train,1,1276
train,1,1283
train,1,1288
train,1,1294
train,1,1296
train,1,1307
train,1,1309
train,1,1314
train,1,1316
train,1,1321
train,1,1329
train,1,1341
train,1,1343
train,1,1354
train,1,1363
train,1,1365
train,1,1370
train,1,1381
train,1,1394
train,1,1426
train,1,1461
train,1,1473
train,1,1497
train,1,1513
train,1,1521
train,1,1532
train,1,1533
train,1,1536
train,1,1551
train,1,1558
train,1,1582
train,1,1590
train,1,1598
train,1,1601
train,1,1602
train,1,1624
train,1,1632
train,1,1635
train,1,1653
train,1,1654
train,1,1665
train,1,1675
train,1,1690
train,1,1714
train,1,1715
train,1,1717
train,1,1737
train,1,1746
train,1,1761
train,1,1767
train,1,1789
train,1,1797
train,1,1799
train,1,1811
train,1,1823
train,1,1825
train,1,1837
train,1,1839
train,1,1845
train,1,1857
train,1,1862
train,1,1864
train,1,1866
train,1,1868
train,1,1876
train,1,1906
train,1,1910
train,1,1913
train,1,1924
train,1,1931
train,1,1936
train,1,1946
train,1,1950
train,1,1960
train,1,1963
train,1,1966
train,1,1970
train,1,1984
train,1,1989
train,1,1990
train,1,2003
train,1,2004
train,1,2005
train,1,2028
train,1,2048
train,1,2058
train,1,2097
train,1,2099
train,1,2106
train,1,2113
train,1,2114
train,1,2115
train,1,2125
train,1,2132
train,1,2133
train,1,2135
train,1,2151
train,1,2161
train,1,2173
train,1,2177
train,1,2180
train,1,2194
train,1,2200
train,1,2201
train,1,2206
train,1,2209
train,1,2212
train,1,2216
train,1,2221
train,1,2228
train,1,2240
train,1,2249
train,1,2251
train,1,2267
train,1,2285
train,1,2290
train,1,2291
train,1,2299
train,1,2305
train,1,2309
train,1,2311
train,1,2336
train,1,2338
train,1,2341
train,1,2354
train,1,2358
train,1,2360
train,1,2376
train,1,2398
train,1,2401
train,1,2408
train,1,2422
train,1,2437
train,1,2440
train,1,2455
train,1,2457
train,1,2463
train,1,2494
train,1,2500
train,1,2521
train,1,2526
train,1,2527
train,1,2529
train,1,2557
train,1,2578
train,1,2595
train,1,2611
train,1,2636
train,1,2640
train,1,2645
train,1,2655
train,1,2660
train,1,2661
train,1,2669
train,1,2675
train,1,2695
train,1,2699
train,1,2709
train,1,2729
train,1,2732
train,1,2749
train,1,2754
train,1,2756
train,1,2772
train,1,2778
train,1,2785
train,1,2797
train,1,2811
train,1,2815
train,1,2819
train,1,2831
train,1,2845
train,1,2872
train,1,2880
train,1,2899
train,1,2909
train,1,2911
train,1,2914
train,1,2929
train,1,2944
train,1,2954
train,1,2955
train,1,2968
train,1,2969
train,1,2972
train,1,2975
train,1,2978
train,1,2980
train,1,2981
train,1,3001
train,1,3018
train,1,3029
train,1,3036
train,1,3050
train,1,3066
train,1,3074
train,1,3103
train,1,3115
train,1,3139
train,1,3141
train,1,3166
train,1,3177
train,1,3182
train,1,3196
train,1,3204
train,1,3206
train,1,3209
train,1,3211
train,1,3221
train,1,3228
train,1,3248
train,1,3280
train,1,3282
train,1,3286
train,1,3302
train,1,3308
train,1,3317
train,1,3324
train,1,3331
train,1,3332
train,1,3333
train,1,3337
train,1,3343
train,1,3348
train,1,3370
train,1,3377
train,1,3400
train,1,3402
train,1,3412
train,1,3416
train,1,3430
train,1,3436
train,1,3448
train,1,3450
train,1,3462
train,1,3465
train,1,3475
train,1,3483
train,1,3493
train,1,3499
train,1,3504
train,1,3506
train,1,3511
train,1,3518
train,1,3523
train,1,3524
train,1,3527
train,1,3533
train,1,3541
train,1,3557
train,1,3571
train,1,3573
train,1,3579
train,1,3590
train,1,3603
train,1,3610
train,1,3631
train,1,3638
train,1,3651
train,1,3666
train,1,3671
train,1,3681
train,1,3683
train,1,3691
train,1,3697
train,1,3702
train,1,3705
train,1,3706
train,1,3720
train,1,3721
train,1,3725
train,1,3739
train,1,3750
train,1,3763
train,1,3770
train,1,3773
train,1,3777
train,1,3780
train,1,3792
train,1,3794
train,1,3807
train,1,3817
train,1,3829
train,1,3848
train,1,3857
train,1,3860
train,1,3880
train,1,3896
train,1,3907
train,1,3908
train,1,3910
train,1,3937
train,1,3949
train,1,3961
train,1,3962
train,1,3969
train,1,9
train,1,17
train,1,18
train,1,20
train,1,21
train,1,24
train,1,25
train,1,31
train,1,36
train,1,42
train,1,48
train,1,50
train,1,51
train,1,53
train,1,55
train,1,57
train,1,62
train,1,72
train,1,75
train,1,76
train,1,78
train,1,82
train,1,84
train,1,90
train,1,91
train,1,94
train,1,95
train,1,100
train,1,103
train,1,111
train,1,113
train,1,123
train,1,131
train,1,132
train,1,135
train,1,138
train,1,150
train,1,162
train,1,163
train,1,170
train,1,176
train,1,177
train,1,178
train,1,197
train,1,200
train,1,203
train,1,206
train,1,207
train,1,221
train,1,222
train,1,225
train,1,227
train,1,232
train,1,234
train,1,237
train,1,238
train,1,239
train,1,245
train,1,252
train,1,257
train,1,266
train,1,272
train,1,277
train,1,284
train,1,285
train,1,286
train,1,291
train,1,296
train,1,297
train,1,303
train,1,305
train,1,306
train,1,310
train,1,324
train,1,332
train,1,333
train,1,339
train,1,341
train,1,342
train,1,344
train,1,348
train,1,349
train,1,364
train,1,367
train,1,371
train,1,373
train,1,379
train,1,383
train,1,386
train,1,395
train,1,398
train,1,400
train,1,401
train,1,404
train,1,406
train,1,410
train,1,411
train,1,412
train,1,413
train,1,415
train,1,417
train,1,420
train,1,424
train,1,425
train,1,427
train,1,431
train,1,435
train,1,437
train,1,445
train,1,446
train,1,462
train,1,465
train,1,471
train,1,481
train,1,482
train,1,483
train,1,484
train,1,485
train,1,487
train,1,489
train,1,501
train,1,506
train,1,509
train,1,511
train,1,513
train,1,517
train,1,527
train,1,528
train,1,534
train,1,539
train,1,544
train,1,547
train,1,548
train,1,550
train,1,557
train,1,563
train,1,566
train,1,573
train,1,579
train,1,588
train,1,593
train,1,595
train,1,597
train,1,602
train,1,608
train,1,616
train,1,617
train,1,618
train,1,625
train,1,630
train,1,632
train,1,634
train,1,637
train,1,640
train,1,642
train,1,643
train,1,646
train,1,649
train,1,650
train,1,653
train,1,671
train,1,676
train,1,677
train,1,682
train,1,685
train,1,688
train,1,691
train,1,697
train,1,701
train,1,703
train,1,711
train,1,713
train,1,742
train,1,746
train,1,748
train,1,749
train,1,752
train,1,759
train,1,774
train,1,776
train,1,779
train,1,784
train,1,787
train,1,789
train,1,794
train,1,796
train,1,805
train,1,808
train,1,811
train,1,812
train,1,815
train,1,823
train,1,827
train,1,829
train,1,830
train,1,841
train,1,845
train,1,848
train,1,865
train,1,875
train,1,877
train,1,880
train,1,885
train,1,888
train,1,889
train,1,892
train,1,893
train,1,901
train,1,902
train,1,903
train,1,913
train,1,931
train,1,934
train,1,935
train,1,938
train,1,940
train,1,943
train,1,951
train,1,957
train,1,967
train,1,973
train,1,975
train,1,982
train,1,987
train,1,989
train,1,991
train,1,993
train,1,998
train,1,1000
train,1,1001
train,1,1003
train,1,1007
train,1,1010
train,1,1014
train,1,1026
train,1,1038
train,1,1039
train,1,1040
train,1,1042
train,1,1043
train,1,1048
train,1,1049
train,1,1054
train,1,1066
train,1,1076
train,1,1077
train,1,1079
train,1,1083
train,1,1084
train,1,1085
train,1,1092
train,1,1097
train,1,1103
train,1,1114
train,1,1115
train,1,1117
train,1,1121
train,1,1123
train,1,1125
train,1,1128
train,1,1132
train,1,1141
train,1,1147
train,1,1148
train,1,1154
train,1,1163
train,1,1169
train,1,1171
train,1,1182
train,1,1196
train,1,1199
train,1,1203
train,1,1206
train,1,1209
train,1,1210
train,1,1211
train,1,1212
train,1,1220
train,1,1229
train,1,1234
train,1,1244
train,1,1247
train,1,1252
train,1,1253
train,1,1258
train,1,1260
train,1,1262
train,1,1263
train,1,1264
train,1,1272
train,1,1277
train,1,1279
train,1,1280
train,1,1292
train,1,1298
train,1,1303
train,1,1305
train,1,1306
train,1,1319
train,1,1326
train,1,1328
train,1,1330
train,1,1333
train,1,1334
train,1,1337
train,1,1346
train,1,1347
train,1,1355
train,1,1357
train,1,1359
train,1,1374
train,1,1379
train,1,1387
train,1,1388
train,1,1390
train,1,1392
train,1,1396
train,1,1398
train,1,1405
train,1,1410
train,1,1411
train,1,1415
train,1,1418
train,1,1419
train,1,1420
train,1,1425
train,1,1427
train,1,1429
train,1,1430
train,1,1433
train,1,1435
train,1,1437
train,1,1440
train,1,1445
train,1,1446
train,1,1452
train,1,1454
train,1,1455
train,1,1474
train,1,1476
train,1,1477
train,1,1481
train,1,1482
train,1,1485
train,1,1496
train,1,1509
train,1,1512
train,1,1514
train,1,1520
train,1,1522
train,1,1527
train,1,1529
train,1,1531
train,1,1535
train,1,1545
train,1,1547
train,1,1549
train,1,1553
train,1,1557
train,1,1568
train,1,1572
train,1,1575
train,1,1576
train,1,1577
train,1,1578
train,1,1580
train,1,1584
train,1,1587
train,1,1591
train,1,1597
train,1,1600
train,1,1606
train,1,1607
train,1,1610
train,1,1618
train,1,1620
train,1,1622
train,1,1626
train,1,1628
train,1,1630
train,1,1633
train,1,1636
train,1,1645
train,1,1650
train,1,1657
train,1,1663
train,1,1664
train,1,1669
train,1,1674
train,1,1676
train,1,1683
train,1,1685
train,1,1701
train,1,1704
train,1,1708
train,1,1718
train,1,1719
train,1,1720
train,1,1721
train,1,1722
train,1,1726
train,1,1729
train,1,1735
train,1,1742
train,1,1745
train,1,1754
train,1,1755
train,1,1759
train,1,1768
train,1,1771
train,1,1775
train,1,1776
train,1,1786
train,1,1788
train,1,1791
train,1,1793
train,1,1794
train,1,1796
train,1,1803
train,1,1806
train,1,1807
train,1,1808
train,1,1813
train,1,1816
train,1,1817
train,1,1818
train,1,1819
train,1,1822
train,1,1826
train,1,1843
train,1,1848
train,1,1849
train,1,1851
train,1,1852
train,1,1860
train,1,1861
train,1,1878
train,1,1885
train,1,1887
train,1,1894
train,1,1899
train,1,1900
train,1,1902
train,1,1905
train,1,1907
train,1,1917
train,1,1919
train,1,1922
train,1,1923
train,1,1932
train,1,1934
train,1,1935
train,1,1938
train,1,1939
train,1,1942
train,1,1945
train,1,1948
train,1,1953
train,1,1961
train,1,1964
train,1,1974
train,1,1981
train,1,1991
train,1,1992
train,1,1995
train,1,2002
train,1,2012
train,1,2017
train,1,2019
train,1,2025
train,1,2032
train,1,2033
train,1,2035
train,1,2042
train,1,2049
train,1,2050
train,1,2064
train,1,2065
train,1,2069
train,1,2072
train,1,2074
train,1,2078
train,1,2083
train,1,2089
train,1,2096
train,1,2098
train,1,2101
train,1,2109
train,1,2110
train,1,2111
train,1,2122
train,1,2123
train,1,2124
train,1,2128
train,1,2131
train,1,2136
train,1,2142
train,1,2143
train,1,2147
train,1,2148
train,1,2160
train,1,2164
train,1,2168
train,1,2170
train,1,2171
train,1,2187
train,1,2189
train,1,2193
train,1,2199
train,1,2202
train,1,2203
train,1,2213
train,1,2217
train,1,2219
train,1,2222
train,1,2223
train,1,2231
train,1,2238
train,1,2243
train,1,2244
train,1,2254
train,1,2256
train,1,2259
train,1,2264
train,1,2274
train,1,2286
train,1,2287
train,1,2289
train,1,2295
train,1,2302
train,1,2303
train,1,2313
train,1,2321
train,1,2324
train,1,2342
train,1,2346
train,1,2347
train,1,2349
train,1,2352
train,1,2355
train,1,2356
train,1,2362
train,1,2371
train,1,2373
train,1,2374
train,1,2377
train,1,2382
train,1,2383
train,1,2385
train,1,2386
train,1,2391
train,1,2392
train,1,2395
train,1,2406
train,1,2407
train,1,2409
train,1,2418
train,1,2419
train,1,2421
train,1,2434
train,1,2435
train,1,2439
train,1,2446
train,1,2447
train,1,2451
train,1,2458
train,1,2461
train,1,2464
train,1,2470
train,1,2472
train,1,2473
train,1,2474
train,1,2475
train,1,2479
train,1,2481
train,1,2484
train,1,2488
train,1,2489
train,1,2507
train,1,2510
train,1,2511
train,1,2517
train,1,2520
train,1,2523
train,1,2528
train,1,2530
train,1,2535
train,1,2538
train,1,2546
train,1,2548
train,1,2555
train,1,2561
train,1,2566
train,1,2569
train,1,2572
train,1,2573
train,1,2582
train,1,2590
train,1,2593
train,1,2598
train,1,2602
train,1,2606
train,1,2608
train,1,2610
train,1,2619
train,1,2622
train,1,2626
train,1,2628
train,1,2632
train,1,2635
train,1,2647
train,1,2653
train,1,2654
train,1,2659
train,1,2662
train,1,2667
train,1,2672
train,1,2676
train,1,2680
train,1,2682
train,1,2685
train,1,2689
train,1,2692
train,1,2694
train,1,2701
train,1,2702
train,1,2703
train,1,2704
train,1,2706
train,1,2714
train,1,2717
train,1,2719
train,1,2720
train,1,2726
train,1,2728
train,1,2730
train,1,2742
train,1,2744
train,1,2746
train,1,2747
train,1,2750
train,1,2751
train,1,2759
train,1,2761
train,1,2762
train,1,2765
train,1,2770
train,1,2771
train,1,2775
train,1,2784
train,1,2787
train,1,2793
train,1,2795
train,1,2796
train,1,2804
train,1,2806
train,1,2818
train,1,2840
train,1,2847
train,1,2848
train,1,2850
train,1,2853
train,1,2861
train,1,2862
train,1,2864
train,1,2873
train,1,2876
train,1,2881
train,1,2882
train,1,2883
train,1,2884
train,1,2886
train,1,2893
train,1,2900
train,1,2901
train,1,2902
train,1,2912
train,1,2923
train,1,2934
train,1,2962
train,1,2963
train,1,2964
train,1,2965
train,1,2976
train,1,2983
train,1,2994
train,1,3002
train,1,3010
train,1,3012
train,1,3016
train,1,3021
train,1,3024
train,1,3031
train,1,3032
train,1,3034
train,1,3042
train,1,3047
train,1,3052
train,1,3056
train,1,3059
train,1,3070
train,1,3100
train,1,3101
train,1,3107
train,1,3108
train,1,3109
train,1,3111
train,1,3112
train,1,3117
train,1,3126
train,1,3130
train,1,3133
train,1,3135
train,1,3138
train,1,3145
train,1,3157
train,1,3158
train,1,3160
train,1,3162
train,1,3165
train,1,3169
train,1,3170
train,1,3176
train,1,3178
train,1,3180
train,1,3184
train,1,3186
train,1,3187
train,1,3188
train,1,3189
train,1,3190
train,1,3202
train,1,3203
train,1,3212
train,1,3213
train,1,3218
train,1,3219
train,1,3223
train,1,3226
train,1,3238
train,1,3239
train,1,3242
train,1,3244
train,1,3252
train,1,3255
train,1,3258
train,1,3261
train,1,3263
train,1,3266
train,1,3270
train,1,3278
train,1,3279
train,1,3284
train,1,3290
train,1,3291
train,1,3292
train,1,3297
train,1,3300
train,1,3304
train,1,3309
train,1,3316
train,1,3318
train,1,3339
train,1,3344
train,1,3347
train,1,3350
train,1,3357
train,1,3359
train,1,3360
train,1,3361
train,1,3362
train,1,3368
train,1,3369
train,1,3371
train,1,3375
train,1,3383
train,1,3384
train,1,3386
train,1,3396
train,1,3407
train,1,3411
train,1,3413
train,1,3414
train,1,3415
train,1,3418
train,1,3424
train,1,3426
train,1,3431
train,1,3435
train,1,3452
train,1,3457
train,1,3458
train,1,3459
train,1,3470
train,1,3474
train,1,3476
train,1,3487
train,1,3488
train,1,3496
train,1,3498
train,1,3519
train,1,3536
train,1,3542
train,1,3546
train,1,3551
train,1,3554
train,1,3555
train,1,3558
train,1,3561
train,1,3566
train,1,3567
train,1,3574
train,1,3575
train,1,3581
train,1,3584
train,1,3585
train,1,3599
train,1,3606
train,1,3614
train,1,3616
train,1,3617
train,1,3618
train,1,3621
train,1,3629
train,1,3635
train,1,3644
train,1,3645
train,1,3646
train,1,3661
train,1,3662
train,1,3678
train,1,3680
train,1,3682
train,1,3687
train,1,3692
train,1,3694
train,1,3700
train,1,3704
train,1,3710
train,1,3712
train,1,3713
train,1,3722
train,1,3723
train,1,3728
train,1,3730
train,1,3738
train,1,3740
train,1,3744
train,1,3745
train,1,3747
train,1,3751
train,1,3752
train,1,3757
train,1,3762
train,1,3766
train,1,3785
train,1,3787
train,1,3789
train,1,3791
train,1,3800
train,1,3801
train,1,3802
train,1,3810
train,1,3812
train,1,3815
train,1,3816
train,1,3818
train,1,3837
train,1,3839
train,1,3851
train,1,3861
train,1,3862
train,1,3863
train,1,3865
train,1,3867
train,1,3869
train,1,3873
train,1,3876
train,1,3883
train,1,3884
train,1,3889
train,1,3900
train,1,3903
train,1,3905
train,1,3914
train,1,3915
train,1,3916
train,1,3917
train,1,3919
train,1,3923
train,1,3924
train,1,3933
train,1,3935
train,1,3939
train,1,3941
train,1,3943
train,1,3954
train,1,3960
train,1,3973
train,1,3982
train,1,3983
train,1,3984
train,1,2
train,1,11
train,1,14
train,1,32
train,1,43
train,1,46
train,1,49
train,1,61
train,1,101
train,1,107
train,1,112
train,1,118
train,1,122
train,1,125
train,1,140
train,1,141
train,1,144
train,1,145
train,1,154
train,1,156
train,1,157
train,1,159
train,1,174
train,1,179
train,1,195
train,1,204
train,1,211
train,1,230
train,1,255
train,1,270
train,1,271
train,1,275
train,1,282
train,1,294
train,1,295
train,1,301
train,1,313
train,1,318
train,1,323
train,1,325
train,1,331
train,1,347
train,1,355
train,1,362
train,1,375
train,1,376
train,1,377
train,1,380
train,1,389
train,1,405
train,1,409
train,1,439
train,1,444
train,1,448
train,1,450
train,1,453
train,1,460
train,1,467
train,1,472
train,1,480
train,1,492
train,1,496
train,1,507
train,1,512
train,1,520
train,1,530
train,1,540
train,1,546
train,1,555
train,1,558
train,1,567
train,1,586
train,1,590
train,1,591
train,1,606
train,1,622
train,1,628
train,1,641
train,1,658
train,1,665
train,1,668
train,1,672
train,1,692
train,1,698
train,1,702
train,1,716
train,1,717
train,1,719
train,1,728
train,1,735
train,1,743
train,1,744
train,1,750
train,1,753
train,1,755
train,1,781
train,1,814
train,1,817
train,1,825
train,1,832
train,1,844
train,1,854
train,1,856
train,1,868
train,1,879
train,1,911
train,1,916
train,1,917
train,1,918
train,1,919
train,1,922
train,1,925
train,1,949
train,1,972
train,1,985
train,1,990
train,1,1002
train,1,1017
train,1,1019
train,1,1022
train,1,1032
train,1,1041
train,1,1060
train,1,1061
train,1,1070
train,1,1074
train,1,1087
train,1,1098
train,1,1101
train,1,1106
train,1,1110
train,1,1113
train,1,1118
train,1,1135
train,1,1152
train,1,1155
train,1,1166
train,1,1167
train,1,1184
train,1,1194
train,1,1202
train,1,1205
train,1,1217
train,1,1223
train,1,1227
train,1,1239
train,1,1245
train,1,1251
train,1,1259
train,1,1269
train,1,1281
train,1,1291
train,1,1297
train,1,1301
train,1,1304
train,1,1310
train,1,1311
train,1,1325
train,1,1331
train,1,1339
train,1,1371
train,1,1378
train,1,1383
train,1,1385
train,1,1391
train,1,1409
train,1,1416
train,1,1424
train,1,1441
train,1,1447
train,1,1448
train,1,1456
train,1,1465
train,1,1466
train,1,1467
train,1,1468
train,1,1472
train,1,1501
train,1,1507
train,1,1563
train,1,1565
train,1,1583
train,1,1588
train,1,1609
train,1,1613
train,1,1640
train,1,1648
train,1,1671
train,1,1672
train,1,1677
train,1,1679
train,1,1681
train,1,1691
train,1,1697
train,1,1707
train,1,1727
train,1,1731
train,1,1739
train,1,1769
train,1,1774
train,1,1810
train,1,1835
train,1,1841
train,1,1842
train,1,1850
train,1,1854
train,1,1855
train,1,1856
train,1,1858
train,1,1863
train,1,1874
train,1,1891
train,1,1892
train,1,1898
train,1,1914
train,1,1941
train,1,1943
train,1,1954
train,1,1955
train,1,1967
train,1,1968
train,1,1969
train,1,1972
train,1,1973
train,1,1993
train,1,2001
train,1,2013
train,1,2015
train,1,2021
train,1,2027
train,1,2047
train,1,2057
train,1,2059
train,1,2071
train,1,2077
train,1,2081
train,1,2102
train,1,2112
train,1,2119
train,1,2139
train,1,2140
train,1,2150
train,1,2162
train,1,2178
train,1,2181
train,1,2186
train,1,2196
train,1,2207
train,1,2225
train,1,2233
train,1,2253
train,1,2257
train,1,2261
train,1,2277
train,1,2278
train,1,2280
train,1,2282
train,1,2293
train,1,2304
train,1,2310
train,1,2350
train,1,2359
train,1,2363
train,1,2378
train,1,2380
train,1,2388
train,1,2397
train,1,2402
train,1,2403
train,1,2404
train,1,2423
train,1,2456
train,1,2485
train,1,2503
train,1,2513
train,1,2516
train,1,2524
train,1,2531
train,1,2545
train,1,2550
train,1,2553
train,1,2558
train,1,2559
train,1,2563
train,1,2575
train,1,2576
train,1,2612
train,1,2618
train,1,2652
train,1,2656
train,1,2664
train,1,2665
train,1,2671
train,1,2687
train,1,2691
train,1,2698
train,1,2731
train,1,2752
train,1,2755
train,1,2766
train,1,2769
train,1,2779
train,1,2789
train,1,2809
train,1,2824
train,1,2830
train,1,2842
train,1,2849
train,1,2854
train,1,2859
train,1,2869
train,1,2870
train,1,2887
train,1,2888
train,1,2890
train,1,2891
train,1,2894
train,1,2895
train,1,2904
train,1,2907
train,1,2915
train,1,2918
train,1,2921
train,1,2925
train,1,2941
train,1,2948
train,1,2966
train,1,2971
train,1,2977
train,1,2988
train,1,2990
train,1,3003
train,1,3004
train,1,3013
train,1,3015
train,1,3026
train,1,3044
train,1,3048
train,1,3061
train,1,3067
train,1,3069
train,1,3076
train,1,3091
train,1,3097
train,1,3119
train,1,3122
train,1,3127
train,1,3159
train,1,3167
train,1,3174
train,1,3181
train,1,3183
train,1,3185
train,1,3205
train,1,3214
train,1,3225
train,1,3241
train,1,3245
train,1,3259
train,1,3264
train,1,3265
train,1,3294
train,1,3299
train,1,3301
train,1,3306
train,1,3320
train,1,3323
train,1,3327
train,1,3335
train,1,3353
train,1,3378
train,1,3379
train,1,3385
train,1,3390
train,1,3399
train,1,3403
train,1,3441
train,1,3453
train,1,3464
train,1,3471
train,1,3484
train,1,3517
train,1,3530
train,1,3534
train,1,3540
train,1,3547
train,1,3549
train,1,3559
train,1,3563
train,1,3569
train,1,3583
train,1,3607
train,1,3612
train,1,3619
train,1,3626
train,1,3632
train,1,3634
train,1,3647
train,1,3648
train,1,3653
train,1,3656
train,1,3660
train,1,3665
train,1,3669
train,1,3674
train,1,3675
train,1,3689
train,1,3703
train,1,3711
train,1,3731
train,1,3746
train,1,3772
train,1,3783
train,1,3799
train,1,3823
train,1,3825
train,1,3834
train,1,3840
train,1,3849
train,1,3852
train,1,3874
train,1,3912
train,1,3921
train,1,3925
train,1,3932
train,1,3940
train,1,3944
train,1,3953
train,1,3972
train,1,3989
train,1,3993
train,1,10
train,1,12
train,1,16
train,1,19
train,1,22
train,1,23
train,1,26
train,1,29
train,1,33
train,1,35
train,1,38
train,1,44
train,1,52
train,1,58
train,1,67
train,1,77
train,1,79
train,1,86
train,1,87
train,1,109
train,1,114
train,1,115
train,1,116
train,1,130
train,1,133
train,1,134
train,1,151
train,1,155
train,1,168
train,1,173
train,1,175
train,1,181
train,1,183
train,1,193
train,1,205
train,1,209
train,1,217
train,1,219
train,1,226
train,1,235
train,1,236
train,1,240
train,1,250
train,1,253
train,1,256
train,1,258
train,1,259
train,1,264
train,1,267
train,1,268
train,1,280
train,1,298
train,1,307
train,1,309
train,1,314
train,1,316
train,1,317
train,1,319
train,1,326
train,1,328
train,1,334
train,1,337
train,1,352
train,1,353
train,1,354
train,1,356
train,1,360
train,1,361
train,1,369
train,1,372
train,1,374
train,1,382
train,1,392
train,1,402
train,1,414
train,1,418
train,1,419
train,1,421
train,1,429
train,1,430
train,1,434
train,1,436
train,1,443
train,1,447
train,1,449
train,1,457
train,1,461
train,1,463
train,1,464
train,1,466
train,1,470
train,1,491
train,1,493
train,1,495
train,1,497
train,1,500
train,1,515
train,1,516
train,1,519
train,1,523
train,1,525
train,1,529
train,1,552
train,1,553
train,1,561
train,1,564
train,1,569
train,1,570
train,1,592
train,1,594
train,1,596
train,1,599
train,1,601
train,1,603
train,1,610
train,1,613
train,1,615
train,1,620
train,1,624
train,1,633
train,1,636
train,1,638
train,1,639
train,1,647
train,1,651
train,1,655
train,1,656
train,1,663
train,1,669
train,1,683
train,1,684
train,1,694
train,1,696
train,1,700
train,1,714
train,1,721
train,1,729
train,1,730
train,1,732
train,1,736
train,1,737
train,1,738
train,1,739
train,1,741
train,1,754
train,1,757
train,1,761
train,1,764
train,1,766
train,1,768
train,1,772
train,1,778
train,1,786
train,1,792
train,1,793
train,1,797
train,1,798
train,1,800
train,1,807
train,1,818
train,1,819
train,1,824
train,1,826
train,1,835
train,1,840
train,1,847
train,1,855
train,1,859
train,1,862
train,1,863
train,1,864
train,1,869
train,1,872
train,1,884
train,1,886
train,1,891
train,1,898
train,1,900
train,1,908
train,1,910
train,1,915
train,1,920
train,1,921
train,1,923
train,1,924
train,1,932
train,1,944
train,1,952
train,1,959
train,1,962
train,1,965
train,1,969
train,1,974
train,1,977
train,1,979
train,1,983
train,1,992
train,1,994
train,1,997
train,1,1004
train,1,1006
train,1,1013
train,1,1029
train,1,1031
train,1,1036
train,1,1044
train,1,1045
train,1,1050
train,1,1051
train,1,1055
train,1,1065
train,1,1067
train,1,1068
train,1,1071
train,1,1073
