set,iteration,row_id
train,1,1
train,1,3
train,1,4
train,1,6
train,1,7
train,1,11
train,1,13
train,1,14
train,1,23
train,1,24
train,1,26
train,1,33
train,1,38
train,1,41
train,1,46
train,1,47
train,1,49
train,1,53
train,1,55
train,1,78
train,1,88
train,1,101
train,1,104
train,1,105
train,1,108
train,1,115
train,1,120
train,1,125
train,1,133
train,1,137
train,1,138
train,1,142
train,1,144
train,1,151
train,1,155
train,1,163
train,1,172
train,1,173
train,1,174
train,1,178
train,1,181
train,1,188
train,1,194
train,1,195
train,1,201
train,1,216
train,1,220
train,1,222
train,1,229
train,1,238
train,1,257
train,1,259
train,1,268
train,1,269
train,1,273
train,1,277
train,1,282
train,1,286
train,1,293
train,1,294
train,1,295
train,1,316
train,1,328
train,1,332
train,1,336
train,1,342
train,1,343
train,1,349
train,1,350
train,1,351
train,1,354
train,1,365
train,1,378
train,1,384
train,1,387
train,1,390
train,1,392
train,1,400
train,1,403
train,1,405
train,1,406
train,1,410
train,1,414
train,1,418
train,1,420
train,1,435
train,1,439
train,1,444
train,1,453
train,1,454
train,1,455
train,1,456
train,1,465
train,1,467
train,1,476
train,1,482
train,1,484
train,1,494
train,1,503
train,1,513
train,1,517
train,1,525
train,1,526
train,1,532
train,1,534
train,1,540
train,1,541
train,1,543
train,1,549
train,1,554
train,1,555
train,1,557
train,1,562
train,1,564
train,1,569
train,1,570
train,1,571
train,1,577
train,1,579
train,1,597
train,1,599
train,1,604
train,1,612
train,1,614
train,1,621
train,1,625
train,1,626
train,1,627
train,1,628
train,1,631
train,1,632
train,1,637
train,1,640
train,1,650
train,1,652
train,1,657
train,1,664
train,1,672
train,1,673
train,1,684
train,1,706
train,1,710
train,1,717
train,1,734
train,1,743
train,1,744
train,1,764
train,1,768
train,1,784
train,1,796
train,1,805
train,1,818
train,1,820
train,1,822
train,1,850
train,1,852
train,1,860
train,1,885
train,1,896
train,1,897
train,1,905
train,1,920
train,1,922
train,1,931
train,1,932
train,1,933
train,1,938
train,1,942
train,1,952
train,1,976
train,1,977
train,1,979
train,1,986
train,1,997
train,1,1002
train,1,1007
train,1,1029
train,1,1031
train,1,1033
train,1,1036
train,1,1037
train,1,1038
train,1,31
train,1,39
train,1,40
train,1,50
train,1,51
train,1,52
train,1,64
train,1,65
train,1,67
train,1,81
train,1,83
train,1,94
train,1,114
train,1,134
train,1,135
train,1,140
train,1,145
train,1,147
train,1,149
train,1,162
train,1,166
train,1,180
train,1,182
train,1,185
train,1,186
train,1,192
train,1,197
train,1,199
train,1,207
train,1,210
train,1,212
train,1,214
train,1,225
train,1,227
train,1,254
train,1,260
train,1,261
train,1,267
train,1,291
train,1,299
train,1,308
train,1,315
train,1,318
train,1,337
train,1,377
train,1,382
train,1,386
train,1,401
train,1,411
train,1,415
train,1,417
train,1,419
train,1,428
train,1,442
train,1,447
train,1,457
train,1,486
train,1,496
train,1,498
train,1,499
train,1,506
train,1,507
train,1,510
train,1,527
train,1,529
train,1,533
train,1,535
train,1,545
train,1,553
train,1,567
train,1,575
train,1,578
train,1,583
train,1,585
train,1,587
train,1,592
train,1,593
train,1,594
train,1,600
train,1,603
train,1,611
train,1,633
train,1,636
train,1,643
train,1,653
train,1,659
train,1,668
train,1,670
train,1,671
train,1,681
train,1,683
train,1,686
train,1,687
train,1,689
train,1,694
train,1,697
train,1,702
train,1,711
train,1,718
train,1,732
train,1,733
train,1,736
train,1,738
train,1,739
train,1,746
train,1,747
train,1,753
train,1,756
train,1,763
train,1,767
train,1,770
train,1,773
train,1,774
train,1,775
train,1,776
train,1,792
train,1,793
train,1,801
train,1,808
train,1,812
train,1,813
train,1,817
train,1,819
train,1,834
train,1,840
train,1,841
train,1,842
train,1,843
train,1,845
train,1,851
train,1,854
train,1,867
train,1,868
train,1,876
train,1,877
train,1,878
train,1,879
train,1,888
train,1,902
train,1,904
train,1,912
train,1,926
train,1,927
train,1,928
train,1,943
train,1,945
train,1,965
train,1,967
train,1,973
train,1,974
train,1,975
train,1,982
train,1,984
train,1,990
train,1,992
train,1,993
train,1,994
train,1,1004
train,1,1014
train,1,1019
train,1,1024
train,1,1027
train,1,1028
train,1,1030
train,1,15
train,1,22
train,1,29
train,1,43
train,1,60
train,1,66
train,1,72
train,1,74
train,1,89
train,1,90
train,1,95
train,1,96
train,1,97
train,1,99
train,1,102
train,1,103
train,1,106
train,1,109
train,1,117
train,1,119
train,1,122
train,1,126
train,1,127
train,1,129
train,1,130
train,1,143
train,1,152
train,1,156
train,1,160
train,1,161
train,1,164
train,1,176
train,1,177
train,1,187
train,1,204
train,1,208
train,1,215
train,1,217
train,1,219
train,1,223
train,1,231
train,1,232
train,1,233
train,1,234
train,1,239
train,1,242
train,1,247
train,1,250
train,1,253
train,1,258
train,1,263
train,1,265
train,1,271
train,1,275
train,1,279
train,1,284
train,1,285
train,1,288
train,1,290
train,1,305
train,1,306
train,1,309
train,1,313
train,1,319
train,1,323
train,1,324
train,1,333
train,1,335
train,1,338
train,1,339
train,1,345
train,1,353
train,1,355
train,1,360
train,1,361
train,1,375
train,1,380
train,1,393
train,1,394
train,1,396
train,1,407
train,1,409
train,1,413
train,1,426
train,1,431
train,1,432
train,1,436
train,1,437
train,1,441
train,1,443
train,1,448
train,1,464
train,1,481
train,1,489
train,1,490
train,1,492
train,1,495
train,1,500
train,1,501
train,1,502
train,1,504
train,1,505
train,1,509
train,1,515
train,1,524
train,1,528
train,1,531
train,1,536
train,1,539
train,1,544
train,1,546
train,1,548
train,1,551
train,1,565
train,1,586
train,1,601
train,1,602
train,1,610
train,1,615
train,1,618
train,1,620
train,1,622
train,1,638
train,1,639
train,1,648
train,1,654
train,1,661
train,1,669
train,1,678
train,1,679
train,1,685
train,1,695
train,1,700
train,1,712
train,1,721
train,1,723
train,1,727
train,1,740
train,1,742
train,1,749
train,1,759
train,1,765
train,1,769
train,1,777
train,1,787
train,1,803
train,1,806
train,1,816
train,1,831
train,1,838
train,1,839
train,1,844
train,1,855
train,1,856
train,1,857
train,1,863
train,1,873
train,1,889
train,1,898
train,1,906
train,1,909
train,1,914
train,1,917
train,1,918
train,1,919
train,1,921
train,1,925
train,1,930
train,1,941
train,1,944
train,1,961
train,1,962
train,1,971
train,1,987
train,1,996
train,1,1001
train,1,1005
train,1,1006
train,1,1008
train,1,1011
train,1,1016
train,1,1026
train,1,8
train,1,25
train,1,28
train,1,34
train,1,35
train,1,54
train,1,61
train,1,68
train,1,69
train,1,86
train,1,87
train,1,91
train,1,98
train,1,118
train,1,121
train,1,131
train,1,132
train,1,136
train,1,153
train,1,157
train,1,165
train,1,179
train,1,203
train,1,228
train,1,230
train,1,243
train,1,255
train,1,264
train,1,272
train,1,274
train,1,287
train,1,289
train,1,297
train,1,301
train,1,320
train,1,325
train,1,347
train,1,352
train,1,356
train,1,363
train,1,371
train,1,373
train,1,376
train,1,402
train,1,412
train,1,416
train,1,421
train,1,422
train,1,425
train,1,430
train,1,433
train,1,434
train,1,440
train,1,451
train,1,452
train,1,470
train,1,471
train,1,472
train,1,475
train,1,477
train,1,480
train,1,491
train,1,511
train,1,522
train,1,547
train,1,558
train,1,563
train,1,566
train,1,573
train,1,576
train,1,582
train,1,584
train,1,595
train,1,596
train,1,605
train,1,616
train,1,629
train,1,635
train,1,641
train,1,642
train,1,646
train,1,647
train,1,651
train,1,658
train,1,660
train,1,662
train,1,663
train,1,666
train,1,675
train,1,677
train,1,688
train,1,690
train,1,699
train,1,701
train,1,707
train,1,715
train,1,720
train,1,724
train,1,728
train,1,729
train,1,730
train,1,752
train,1,754
train,1,761
train,1,766
train,1,772
train,1,778
train,1,780
train,1,782
train,1,783
train,1,786
train,1,790
train,1,794
train,1,795
train,1,798
train,1,800
train,1,802
train,1,807
train,1,810
train,1,815
train,1,823
train,1,829
train,1,830
train,1,847
train,1,853
train,1,865
train,1,870
train,1,872
train,1,874
train,1,881
train,1,882
train,1,886
train,1,887
train,1,891
train,1,892
train,1,893
train,1,899
train,1,910
train,1,915
train,1,923
train,1,924
train,1,947
train,1,948
train,1,950
train,1,951
train,1,956
train,1,958
train,1,959
train,1,960
train,1,963
train,1,969
train,1,970
train,1,980
train,1,981
train,1,988
train,1,995
train,1,1009
train,1,1010
train,1,1015
train,1,1017
train,1,1018
train,1,1020
train,1,1025
train,1,1034
train,2,2
train,2,9
train,2,10
train,2,12
train,2,17
train,2,19
train,2,21
train,2,27
train,2,30
train,2,32
train,2,37
train,2,44
train,2,45
train,2,48
train,2,58
train,2,59
train,2,62
train,2,70
train,2,75
train,2,80
train,2,84
train,2,92
train,2,93
train,2,111
train,2,112
train,2,123
train,2,124
train,2,139
train,2,141
train,2,148
train,2,150
train,2,158
train,2,159
train,2,167
train,2,168
train,2,170
train,2,175
train,2,183
train,2,184
train,2,189
train,2,196
train,2,206
train,2,209
train,2,211
train,2,213
train,2,218
train,2,221
train,2,237
train,2,240
train,2,241
train,2,244
train,2,249
train,2,251
train,2,256
train,2,262
train,2,266
train,2,276
train,2,280
train,2,281
train,2,283
train,2,292
train,2,296
train,2,300
train,2,302
train,2,303
train,2,304
train,2,307
train,2,312
train,2,314
train,2,317
train,2,326
train,2,327
train,2,344
train,2,346
train,2,348
train,2,359
train,2,362
train,2,366
train,2,367
train,2,368
train,2,369
train,2,370
train,2,374
train,2,389
train,2,391
train,2,395
train,2,397
train,2,408
train,2,423
train,2,424
train,2,427
train,2,445
train,2,446
train,2,450
train,2,460
train,2,461
train,2,466
train,2,473
train,2,479
train,2,483
train,2,485
train,2,487
train,2,488
train,2,508
train,2,512
train,2,514
train,2,516
train,2,518
train,2,519
train,2,520
train,2,521
train,2,523
train,2,537
train,2,542
train,2,550
train,2,552
train,2,559
train,2,560
train,2,561
train,2,568
train,2,572
train,2,581
train,2,588
train,2,591
train,2,607
train,2,608
train,2,609
train,2,617
train,2,623
train,2,630
train,2,649
train,2,674
train,2,680
train,2,696
train,2,703
train,2,709
train,2,714
train,2,716
train,2,719
train,2,725
train,2,726
train,2,737
train,2,748
train,2,751
train,2,755
train,2,757
train,2,758
train,2,771
train,2,788
train,2,789
train,2,811
train,2,825
train,2,826
train,2,828
train,2,833
train,2,836
train,2,846
train,2,848
train,2,849
train,2,861
train,2,869
train,2,875
train,2,883
train,2,890
train,2,903
train,2,911
train,2,929
train,2,936
train,2,937
train,2,939
train,2,940
train,2,949
train,2,953
train,2,964
train,2,966
train,2,991
train,2,999
train,2,1000
train,2,1012
train,2,1022
train,2,1032
train,2,1035
train,2,1040
train,2,5
train,2,16
train,2,18
train,2,20
train,2,36
train,2,42
train,2,56
train,2,57
train,2,63
train,2,71
train,2,73
train,2,76
train,2,77
train,2,79
train,2,82
train,2,85
train,2,100
train,2,107
train,2,110
train,2,113
train,2,116
train,2,128
train,2,146
train,2,154
train,2,169
train,2,171
train,2,190
train,2,191
train,2,193
train,2,198
train,2,200
train,2,202
train,2,205
train,2,224
train,2,226
train,2,235
train,2,236
train,2,245
train,2,246
train,2,248
train,2,252
train,2,270
train,2,278
train,2,298
train,2,310
train,2,311
train,2,321
train,2,322
train,2,329
train,2,330
train,2,331
train,2,334
train,2,340
train,2,341
train,2,357
train,2,358
train,2,364
train,2,372
train,2,379
train,2,381
train,2,383
train,2,385
train,2,388
train,2,398
train,2,399
train,2,404
train,2,429
train,2,438
train,2,449
train,2,458
train,2,459
train,2,462
train,2,463
train,2,468
train,2,469
train,2,474
train,2,478
train,2,493
train,2,497
train,2,530
train,2,538
train,2,556
train,2,574
train,2,580
train,2,589
train,2,590
train,2,598
train,2,606
train,2,613
train,2,619
train,2,624
train,2,634
train,2,644
train,2,645
train,2,655
train,2,656
train,2,665
train,2,667
train,2,676
train,2,682
train,2,691
train,2,692
train,2,693
train,2,698
train,2,704
train,2,705
train,2,708
train,2,713
train,2,722
train,2,731
train,2,735
train,2,741
train,2,745
train,2,750
train,2,760
train,2,762
train,2,779
train,2,781
train,2,785
train,2,791
train,2,797
train,2,799
train,2,804
train,2,809
train,2,814
train,2,821
train,2,824
train,2,827
train,2,832
train,2,835
train,2,837
train,2,858
train,2,859
train,2,862
train,2,864
train,2,866
train,2,871
train,2,880
train,2,884
train,2,894
train,2,895
train,2,900
train,2,901
train,2,907
train,2,908
train,2,913
train,2,916
train,2,934
train,2,935
train,2,946
train,2,954
train,2,955
train,2,957
train,2,968
train,2,972
train,2,978
train,2,983
train,2,985
train,2,989
train,2,998
train,2,1003
train,2,1013
train,2,1021
train,2,1023
train,2,1039
train,2,15
train,2,22
train,2,29
train,2,43
train,2,60
train,2,66
train,2,72
train,2,74
train,2,89
train,2,90
train,2,95
train,2,96
train,2,97
train,2,99
train,2,102
train,2,103
train,2,106
train,2,109
train,2,117
train,2,119
train,2,122
train,2,126
train,2,127
train,2,129
train,2,130
train,2,143
train,2,152
train,2,156
train,2,160
train,2,161
train,2,164
train,2,176
train,2,177
train,2,187
train,2,204
train,2,208
train,2,215
train,2,217
train,2,219
train,2,223
train,2,231
train,2,232
train,2,233
train,2,234
train,2,239
train,2,242
train,2,247
train,2,250
train,2,253
train,2,258
train,2,263
train,2,265
train,2,271
train,2,275
train,2,279
train,2,284
train,2,285
train,2,288
train,2,290
train,2,305
train,2,306
train,2,309
train,2,313
train,2,319
train,2,323
train,2,324
train,2,333
train,2,335
train,2,338
train,2,339
train,2,345
train,2,353
train,2,355
train,2,360
train,2,361
train,2,375
train,2,380
train,2,393
train,2,394
train,2,396
train,2,407
train,2,409
train,2,413
train,2,426
train,2,431
train,2,432
train,2,436
train,2,437
train,2,441
train,2,443
train,2,448
train,2,464
train,2,481
train,2,489
train,2,490
train,2,492
train,2,495
train,2,500
train,2,501
train,2,502
train,2,504
train,2,505
train,2,509
train,2,515
train,2,524
train,2,528
train,2,531
train,2,536
train,2,539
train,2,544
train,2,546
train,2,548
train,2,551
train,2,565
train,2,586
train,2,601
train,2,602
train,2,610
train,2,615
train,2,618
train,2,620
train,2,622
train,2,638
train,2,639
train,2,648
train,2,654
train,2,661
train,2,669
train,2,678
train,2,679
train,2,685
train,2,695
train,2,700
train,2,712
train,2,721
train,2,723
train,2,727
train,2,740
train,2,742
train,2,749
train,2,759
train,2,765
train,2,769
train,2,777
train,2,787
train,2,803
train,2,806
train,2,816
train,2,831
train,2,838
train,2,839
train,2,844
train,2,855
train,2,856
train,2,857
train,2,863
train,2,873
train,2,889
train,2,898
train,2,906
train,2,909
train,2,914
train,2,917
train,2,918
train,2,919
train,2,921
train,2,925
train,2,930
train,2,941
train,2,944
train,2,961
train,2,962
train,2,971
train,2,987
train,2,996
train,2,1001
train,2,1005
train,2,1006
train,2,1008
train,2,1011
train,2,1016
train,2,1026
train,2,8
train,2,25
train,2,28
train,2,34
train,2,35
train,2,54
train,2,61
train,2,68
train,2,69
train,2,86
train,2,87
train,2,91
train,2,98
train,2,118
train,2,121
train,2,131
train,2,132
train,2,136
train,2,153
train,2,157
train,2,165
train,2,179
train,2,203
train,2,228
train,2,230
train,2,243
train,2,255
train,2,264
train,2,272
train,2,274
train,2,287
train,2,289
train,2,297
train,2,301
train,2,320
train,2,325
train,2,347
train,2,352
train,2,356
train,2,363
train,2,371
train,2,373
train,2,376
train,2,402
train,2,412
train,2,416
train,2,421
train,2,422
train,2,425
train,2,430
train,2,433
train,2,434
train,2,440
train,2,451
train,2,452
train,2,470
train,2,471
train,2,472
train,2,475
train,2,477
train,2,480
train,2,491
train,2,511
train,2,522
train,2,547
train,2,558
train,2,563
train,2,566
train,2,573
train,2,576
train,2,582
train,2,584
train,2,595
train,2,596
train,2,605
train,2,616
train,2,629
train,2,635
train,2,641
train,2,642
train,2,646
train,2,647
train,2,651
train,2,658
train,2,660
train,2,662
train,2,663
train,2,666
train,2,675
train,2,677
train,2,688
train,2,690
train,2,699
train,2,701
train,2,707
train,2,715
train,2,720
train,2,724
train,2,728
train,2,729
train,2,730
train,2,752
train,2,754
train,2,761
train,2,766
train,2,772
train,2,778
train,2,780
train,2,782
train,2,783
train,2,786
train,2,790
train,2,794
train,2,795
train,2,798
train,2,800
train,2,802
train,2,807
train,2,810
train,2,815
train,2,823
train,2,829
train,2,830
train,2,847
train,2,853
train,2,865
train,2,870
train,2,872
train,2,874
train,2,881
train,2,882
train,2,886
train,2,887
train,2,891
train,2,892
train,2,893
train,2,899
train,2,910
train,2,915
train,2,923
train,2,924
train,2,947
train,2,948
train,2,950
train,2,951
train,2,956
train,2,958
train,2,959
train,2,960
train,2,963
train,2,969
train,2,970
train,2,980
train,2,981
train,2,988
train,2,995
train,2,1009
train,2,1010
train,2,1015
train,2,1017
train,2,1018
train,2,1020
train,2,1025
train,2,1034
train,3,2
train,3,9
train,3,10
train,3,12
train,3,17
train,3,19
train,3,21
train,3,27
train,3,30
train,3,32
train,3,37
train,3,44
train,3,45
train,3,48
train,3,58
train,3,59
train,3,62
train,3,70
train,3,75
train,3,80
train,3,84
train,3,92
train,3,93
train,3,111
train,3,112
train,3,123
train,3,124
train,3,139
train,3,141
train,3,148
train,3,150
train,3,158
train,3,159
train,3,167
train,3,168
train,3,170
train,3,175
train,3,183
train,3,184
train,3,189
train,3,196
train,3,206
train,3,209
train,3,211
train,3,213
train,3,218
train,3,221
train,3,237
train,3,240
train,3,241
train,3,244
train,3,249
train,3,251
train,3,256
train,3,262
train,3,266
train,3,276
train,3,280
train,3,281
train,3,283
train,3,292
train,3,296
train,3,300
train,3,302
train,3,303
train,3,304
train,3,307
train,3,312
train,3,314
train,3,317
train,3,326
train,3,327
train,3,344
train,3,346
train,3,348
train,3,359
train,3,362
train,3,366
train,3,367
train,3,368
train,3,369
train,3,370
train,3,374
train,3,389
train,3,391
train,3,395
train,3,397
train,3,408
train,3,423
train,3,424
train,3,427
train,3,445
train,3,446
train,3,450
train,3,460
train,3,461
train,3,466
train,3,473
train,3,479
train,3,483
train,3,485
train,3,487
train,3,488
train,3,508
train,3,512
train,3,514
train,3,516
train,3,518
train,3,519
train,3,520
train,3,521
train,3,523
train,3,537
train,3,542
train,3,550
train,3,552
train,3,559
train,3,560
train,3,561
train,3,568
train,3,572
train,3,581
train,3,588
train,3,591
train,3,607
train,3,608
train,3,609
train,3,617
train,3,623
train,3,630
train,3,649
train,3,674
train,3,680
train,3,696
train,3,703
train,3,709
train,3,714
train,3,716
train,3,719
train,3,725
train,3,726
train,3,737
train,3,748
train,3,751
train,3,755
train,3,757
train,3,758
train,3,771
train,3,788
train,3,789
train,3,811
train,3,825
train,3,826
train,3,828
train,3,833
train,3,836
train,3,846
train,3,848
train,3,849
train,3,861
train,3,869
train,3,875
train,3,883
train,3,890
train,3,903
train,3,911
train,3,929
train,3,936
train,3,937
train,3,939
train,3,940
train,3,949
train,3,953
train,3,964
train,3,966
train,3,991
train,3,999
train,3,1000
train,3,1012
train,3,1022
train,3,1032
train,3,1035
train,3,1040
train,3,5
train,3,16
train,3,18
train,3,20
train,3,36
train,3,42
train,3,56
train,3,57
train,3,63
train,3,71
train,3,73
train,3,76
train,3,77
train,3,79
train,3,82
train,3,85
train,3,100
train,3,107
train,3,110
train,3,113
train,3,116
train,3,128
train,3,146
train,3,154
train,3,169
train,3,171
train,3,190
train,3,191
train,3,193
train,3,198
train,3,200
train,3,202
train,3,205
train,3,224
train,3,226
train,3,235
train,3,236
train,3,245
train,3,246
train,3,248
train,3,252
train,3,270
train,3,278
train,3,298
train,3,310
train,3,311
train,3,321
train,3,322
train,3,329
train,3,330
train,3,331
train,3,334
train,3,340
train,3,341
train,3,357
train,3,358
train,3,364
train,3,372
train,3,379
train,3,381
train,3,383
train,3,385
train,3,388
train,3,398
train,3,399
train,3,404
train,3,429
train,3,438
train,3,449
train,3,458
train,3,459
train,3,462
train,3,463
train,3,468
train,3,469
train,3,474
train,3,478
train,3,493
train,3,497
train,3,530
train,3,538
train,3,556
train,3,574
train,3,580
train,3,589
train,3,590
train,3,598
train,3,606
train,3,613
train,3,619
train,3,624
train,3,634
train,3,644
train,3,645
train,3,655
train,3,656
train,3,665
train,3,667
train,3,676
train,3,682
train,3,691
train,3,692
train,3,693
train,3,698
train,3,704
train,3,705
train,3,708
train,3,713
train,3,722
train,3,731
train,3,735
train,3,741
train,3,745
train,3,750
train,3,760
train,3,762
train,3,779
train,3,781
train,3,785
train,3,791
train,3,797
train,3,799
train,3,804
train,3,809
train,3,814
train,3,821
train,3,824
train,3,827
train,3,832
train,3,835
train,3,837
train,3,858
train,3,859
train,3,862
train,3,864
train,3,866
train,3,871
train,3,880
train,3,884
train,3,894
train,3,895
train,3,900
train,3,901
train,3,907
train,3,908
train,3,913
train,3,916
train,3,934
train,3,935
train,3,946
train,3,954
train,3,955
train,3,957
train,3,968
train,3,972
train,3,978
train,3,983
train,3,985
train,3,989
train,3,998
train,3,1003
train,3,1013
train,3,1021
train,3,1023
train,3,1039
train,3,1
train,3,3
train,3,4
train,3,6
train,3,7
train,3,11
train,3,13
train,3,14
train,3,23
train,3,24
train,3,26
train,3,33
train,3,38
train,3,41
train,3,46
train,3,47
train,3,49
train,3,53
train,3,55
train,3,78
train,3,88
train,3,101
train,3,104
train,3,105
train,3,108
train,3,115
train,3,120
train,3,125
train,3,133
train,3,137
train,3,138
train,3,142
train,3,144
train,3,151
train,3,155
train,3,163
train,3,172
train,3,173
train,3,174
train,3,178
train,3,181
train,3,188
train,3,194
train,3,195
train,3,201
train,3,216
train,3,220
train,3,222
train,3,229
train,3,238
train,3,257
train,3,259
train,3,268
train,3,269
train,3,273
train,3,277
train,3,282
train,3,286
train,3,293
train,3,294
train,3,295
train,3,316
train,3,328
train,3,332
train,3,336
train,3,342
train,3,343
train,3,349
train,3,350
train,3,351
train,3,354
train,3,365
train,3,378
train,3,384
train,3,387
train,3,390
train,3,392
train,3,400
train,3,403
train,3,405
train,3,406
train,3,410
train,3,414
train,3,418
train,3,420
train,3,435
train,3,439
train,3,444
train,3,453
train,3,454
train,3,455
train,3,456
train,3,465
train,3,467
train,3,476
train,3,482
train,3,484
train,3,494
train,3,503
train,3,513
train,3,517
train,3,525
train,3,526
train,3,532
train,3,534
train,3,540
train,3,541
train,3,543
train,3,549
train,3,554
train,3,555
train,3,557
train,3,562
train,3,564
train,3,569
train,3,570
train,3,571
train,3,577
train,3,579
train,3,597
train,3,599
train,3,604
train,3,612
train,3,614
train,3,621
train,3,625
train,3,626
train,3,627
train,3,628
train,3,631
train,3,632
train,3,637
train,3,640
train,3,650
train,3,652
train,3,657
train,3,664
train,3,672
train,3,673
train,3,684
train,3,706
train,3,710
train,3,717
train,3,734
train,3,743
train,3,744
train,3,764
train,3,768
train,3,784
train,3,796
train,3,805
train,3,818
train,3,820
train,3,822
train,3,850
train,3,852
train,3,860
train,3,885
train,3,896
train,3,897
train,3,905
train,3,920
train,3,922
train,3,931
train,3,932
train,3,933
train,3,938
train,3,942
train,3,952
train,3,976
train,3,977
train,3,979
train,3,986
train,3,997
train,3,1002
train,3,1007
train,3,1029
train,3,1031
train,3,1033
train,3,1036
train,3,1037
train,3,1038
train,3,31
train,3,39
train,3,40
train,3,50
train,3,51
train,3,52
train,3,64
train,3,65
train,3,67
train,3,81
train,3,83
train,3,94
train,3,114
train,3,134
train,3,135
train,3,140
train,3,145
train,3,147
train,3,149
train,3,162
train,3,166
train,3,180
train,3,182
train,3,185
train,3,186
train,3,192
train,3,197
train,3,199
train,3,207
train,3,210
train,3,212
train,3,214
train,3,225
train,3,227
train,3,254
train,3,260
train,3,261
train,3,267
train,3,291
train,3,299
train,3,308
train,3,315
train,3,318
train,3,337
train,3,377
train,3,382
train,3,386
train,3,401
train,3,411
train,3,415
train,3,417
train,3,419
train,3,428
train,3,442
train,3,447
train,3,457
train,3,486
train,3,496
train,3,498
train,3,499
train,3,506
train,3,507
train,3,510
train,3,527
train,3,529
train,3,533
train,3,535
train,3,545
train,3,553
train,3,567
train,3,575
train,3,578
train,3,583
train,3,585
train,3,587
train,3,592
train,3,593
train,3,594
train,3,600
train,3,603
train,3,611
train,3,633
train,3,636
train,3,643
train,3,653
train,3,659
train,3,668
train,3,670
train,3,671
train,3,681
train,3,683
train,3,686
train,3,687
train,3,689
train,3,694
train,3,697
train,3,702
train,3,711
train,3,718
train,3,732
train,3,733
train,3,736
train,3,738
train,3,739
train,3,746
train,3,747
train,3,753
train,3,756
train,3,763
train,3,767
train,3,770
train,3,773
train,3,774
train,3,775
train,3,776
train,3,792
train,3,793
train,3,801
train,3,808
train,3,812
train,3,813
train,3,817
train,3,819
train,3,834
train,3,840
train,3,841
train,3,842
train,3,843
train,3,845
train,3,851
train,3,854
train,3,867
train,3,868
train,3,876
train,3,877
train,3,878
train,3,879
train,3,888
train,3,902
train,3,904
train,3,912
train,3,926
train,3,927
train,3,928
train,3,943
train,3,945
train,3,965
train,3,967
train,3,973
train,3,974
train,3,975
train,3,982
train,3,984
train,3,990
train,3,992
train,3,993
train,3,994
train,3,1004
train,3,1014
train,3,1019
train,3,1024
train,3,1027
train,3,1028
train,3,1030
train,4,2
train,4,7
train,4,13
train,4,14
train,4,15
train,4,22
train,4,24
train,4,29
train,4,45
train,4,48
train,4,58
train,4,59
train,4,70
train,4,74
train,4,78
train,4,84
train,4,95
train,4,96
train,4,101
train,4,102
train,4,103
train,4,109
train,4,111
train,4,117
train,4,123
train,4,124
train,4,125
train,4,127
train,4,129
train,4,133
train,4,137
train,4,144
train,4,150
train,4,151
train,4,156
train,4,158
train,4,163
train,4,176
train,4,177
train,4,181
train,4,188
train,4,189
train,4,216
train,4,217
train,4,222
train,4,223
train,4,229
train,4,232
train,4,238
train,4,239
train,4,242
train,4,247
train,4,250
train,4,251
train,4,256
train,4,259
train,4,265
train,4,268
train,4,273
train,4,277
train,4,279
train,4,280
train,4,281
train,4,288
train,4,295
train,4,303
train,4,304
train,4,312
train,4,313
train,4,324
train,4,333
train,4,335
train,4,336
train,4,338
train,4,342
train,4,343
train,4,345
train,4,346
train,4,349
train,4,350
train,4,362
train,4,365
train,4,367
train,4,368
train,4,384
train,4,391
train,4,400
train,4,403
train,4,405
train,4,426
train,4,432
train,4,435
train,4,439
train,4,444
train,4,445
train,4,446
train,4,454
train,4,456
train,4,461
train,4,464
train,4,481
train,4,484
train,4,485
train,4,488
train,4,489
train,4,492
train,4,495
train,4,501
train,4,502
