"row_id","fold"
6,1
9,1
15,1
16,1
22,1
28,1
42,1
61,1
63,1
66,1
77,1
99,1
111,1
115,1
118,1
119,1
120,1
121,1
128,1
132,1
144,1
158,1
164,1
166,1
168,1
185,1
193,1
195,1
199,1
200,1
206,1
215,1
218,1
232,1
240,1
241,1
250,1
261,1
265,1
267,1
274,1
275,1
284,1
287,1
294,1
298,1
306,1
309,1
330,1
333,1
349,1
350,1
355,1
359,1
366,1
372,1
377,1
385,1
389,1
395,1
399,1
415,1
420,1
430,1
436,1
514,1
516,1
518,1
559,1
560,1
562,1
572,1
619,1
623,1
648,1
658,1
661,1
687,1
692,1
707,1
737,1
749,1
753,1
769,1
800,1
819,1
847,1
869,1
873,1
890,1
953,1
1042,1
1052,1
1065,1
1129,1
1136,1
1142,1
1150,1
1159,1
1167,1
1174,1
1184,1
1264,1
1331,1
1553,1
1556,1
1570,1
1575,1
1576,1
1588,1
1595,1
1598,1
1604,1
1606,1
1611,1
1632,1
1633,1
1636,1
1638,1
1639,1
1650,1
1658,1
1662,1
1664,1
1675,1
1693,1
1695,1
1703,1
1711,1
1722,1
1728,1
1743,1
1747,1
1748,1
1751,1
1755,1
1759,1
1772,1
1776,1
1802,1
1812,1
1828,1
1832,1
1837,1
1840,1
1848,1
1854,1
1859,1
1862,1
1865,1
1873,1
1887,1
1908,1
1931,1
1950,1
1961,1
1972,1
1979,1
1991,1
2006,1
2007,1
2018,1
2024,1
2030,1
2033,1
2037,1
2050,1
2058,1
2082,1
2089,1
2094,1
2095,1
2100,1
2105,1
2112,1
2114,1
2129,1
2139,1
2140,1
2141,1
2172,1
2174,1
2176,1
2178,1
2188,1
2190,1
2194,1
2208,1
2211,1
2217,1
2222,1
2224,1
2228,1
4,2
11,2
14,2
20,2
38,2
46,2
47,2
50,2
52,2
54,2
59,2
81,2
82,2
101,2
103,2
107,2
108,2
110,2
117,2
124,2
131,2
133,2
141,2
146,2
150,2
151,2
156,2
160,2
163,2
165,2
170,2
192,2
197,2
201,2
202,2
207,2
209,2
211,2
237,2
239,2
243,2
247,2
251,2
257,2
262,2
277,2
288,2
293,2
296,2
301,2
303,2
315,2
319,2
324,2
325,2
329,2
352,2
357,2
383,2
384,2
409,2
414,2
422,2
425,2
426,2
428,2
429,2
449,2
458,2
464,2
493,2
497,2
498,2
507,2
508,2
512,2
541,2
546,2
564,2
599,2
606,2
640,2
673,2
682,2
689,2
703,2
708,2
744,2
755,2
760,2
762,2
784,2
795,2
822,2
835,2
876,2
911,2
943,2
955,2
965,2
992,2
1007,2
1011,2
1019,2
1044,2
1049,2
1063,2
1067,2
1071,2
1140,2
1158,2
1160,2
1168,2
1194,2
1239,2
1299,2
1300,2
1306,2
1485,2
1535,2
1536,2
1537,2
1540,2
1565,2
1569,2
1578,2
1580,2
1590,2
1648,2
1656,2
1676,2
1682,2
1694,2
1697,2
1701,2
1715,2
1720,2
1734,2
1738,2
1742,2
1758,2
1781,2
1810,2
1823,2
1824,2
1835,2
1836,2
1838,2
1843,2
1847,2
1853,2
1858,2
1863,2
1866,2
1871,2
1888,2
1893,2
1896,2
1904,2
1915,2
1940,2
1949,2
1951,2
1959,2
1970,2
1990,2
1997,2
2002,2
2028,2
2034,2
2053,2
2059,2
2068,2
2072,2
2073,2
2087,2
2102,2
2107,2
2122,2
2133,2
2145,2
2148,2
2155,2
2166,2
2169,2
2170,2
2181,2
2191,2
2200,2
2202,2
2207,2
2215,2
2216,2
12,3
19,3
21,3
25,3
27,3
29,3
31,3
34,3
41,3
53,3
55,3
62,3
64,3
79,3
80,3
84,3
87,3
90,3
91,3
93,3
102,3
135,3
142,3
172,3
181,3
182,3
183,3
187,3
190,3
198,3
205,3
210,3
214,3
220,3
221,3
226,3
229,3
230,3
231,3
234,3
252,3
254,3
278,3
295,3
305,3
311,3
312,3
313,3
326,3
327,3
339,3
342,3
345,3
361,3
365,3
369,3
370,3
375,3
392,3
398,3
405,3
438,3
447,3
451,3
453,3
460,3
475,3
485,3
499,3
506,3
517,3
520,3
529,3
536,3
538,3
540,3
549,3
554,3
571,3
585,3
591,3
593,3
598,3
602,3
613,3
618,3
639,3
654,3
660,3
678,3
697,3
706,3
725,3
730,3
775,3
777,3
821,3
841,3
860,3
889,3
897,3
922,3
981,3
988,3
991,3
1002,3
1016,3
1020,3
1079,3
1088,3
1089,3
1100,3
1117,3
1124,3
1130,3
1133,3
1201,3
1554,3
1564,3
1568,3
1579,3
1585,3
1586,3
1587,3
1591,3
1592,3
1593,3
1610,3
1618,3
1623,3
1655,3
1661,3
1663,3
1714,3
1723,3
1726,3
1729,3
1741,3
1749,3
1768,3
1780,3
1786,3
1807,3
1830,3
1839,3
1846,3
1861,3
1884,3
1902,3
1911,3
1912,3
1924,3
1929,3
1943,3
1957,3
1966,3
1971,3
1974,3
1981,3
1996,3
1999,3
2000,3
2013,3
2016,3
2020,3
2035,3
2036,3
2056,3
2057,3
2070,3
2085,3
2091,3
2092,3
2093,3
2096,3
2101,3
2104,3
2116,3
2118,3
2123,3
2143,3
2161,3
2162,3
2171,3
2173,3
2187,3
2193,3
2198,3
2199,3
2203,3
2205,3
2214,3
2218,3
1,4
2,4
10,4
17,4
18,4
24,4
32,4
33,4
35,4
36,4
51,4
56,4
57,4
65,4
67,4
69,4
78,4
83,4
96,4
104,4
105,4
106,4
116,4
136,4
138,4
139,4
149,4
159,4
162,4
167,4
173,4
191,4
212,4
217,4
228,4
242,4
276,4
280,4
292,4
300,4
304,4
321,4
331,4
335,4
338,4
353,4
371,4
373,4
376,4
404,4
411,4
417,4
423,4
435,4
455,4
467,4
490,4
491,4
513,4
515,4
527,4
534,4
544,4
567,4
569,4
570,4
592,4
600,4
605,4
612,4
630,4
645,4
656,4
664,4
669,4
674,4
680,4
700,4
705,4
748,4
761,4
809,4
817,4
871,4
892,4
920,4
933,4
934,4
957,4
972,4
975,4
976,4
984,4
1021,4
1055,4
1059,4
1091,4
1121,4
1176,4
1183,4
1185,4
1227,4
1249,4
1261,4
1263,4
1362,4
1428,4
1454,4
1526,4
1533,4
1534,4
1539,4
1559,4
1560,4
1577,4
1605,4
1630,4
1631,4
1640,4
1646,4
1653,4
1670,4
1683,4
1685,4
1686,4
1687,4
1690,4
1698,4
1700,4
1709,4
1737,4
1744,4
1798,4
1799,4
1801,4
1804,4
1817,4
1818,4
1827,4
1831,4
1833,4
1844,4
1845,4
1850,4
1860,4
1867,4
1869,4
1870,4
1872,4
1874,4
1883,4
1889,4
1898,4
1900,4
1916,4
1934,4
1935,4
1937,4
1948,4
1954,4
1955,4
1956,4
1963,4
1973,4
1975,4
1980,4
1992,4
2003,4
2009,4
2021,4
2025,4
2029,4
2031,4
2041,4
2084,4
2099,4
2115,4
2119,4
2126,4
2130,4
2142,4
2144,4
2150,4
2157,4
2158,4
2168,4
2177,4
2185,4
2189,4
2192,4
2206,4
2210,4
2213,4
3,5
7,5
13,5
23,5
26,5
37,5
40,5
43,5
44,5
45,5
48,5
60,5
70,5
71,5
75,5
76,5
86,5
88,5
89,5
92,5
100,5
109,5
114,5
123,5
126,5
134,5
137,5
145,5
152,5
153,5
155,5
169,5
171,5
174,5
177,5
180,5
203,5
208,5
219,5
222,5
225,5
233,5
255,5
256,5
259,5
268,5
269,5
279,5
289,5
314,5
320,5
322,5
332,5
337,5
340,5
351,5
356,5
388,5
393,5
407,5
410,5
444,5
452,5
459,5
461,5
471,5
479,5
483,5
492,5
496,5
522,5
524,5
530,5
557,5
561,5
563,5
582,5
590,5
603,5
617,5
620,5
627,5
649,5
655,5
671,5
696,5
711,5
715,5
734,5
750,5
754,5
781,5
785,5
788,5
791,5
792,5
796,5
827,5
832,5
844,5
849,5
877,5
917,5
935,5
936,5
960,5
1022,5
1038,5
1051,5
1057,5
1060,5
1081,5
1084,5
1115,5
1146,5
1172,5
1212,5
1222,5
1255,5
1357,5
1470,5
1532,5
1561,5
1582,5
1584,5
1603,5
1608,5
1628,5
1642,5
1652,5
1689,5
1696,5
1699,5
1718,5
1724,5
1732,5
1752,5
1754,5
1757,5
1769,5
1771,5
1777,5
1778,5
1782,5
1787,5
1788,5
1790,5
1791,5
1797,5
1809,5
1821,5
1825,5
1829,5
1841,5
1852,5
1857,5
1903,5
1909,5
1910,5
1914,5
1927,5
1936,5
1964,5
1965,5
1969,5
1978,5
1988,5
2004,5
2010,5
