"set","iteration","row_id"
"train",1,1
"train",1,35
"train",1,47
"train",1,64
"train",1,69
"train",1,76
"train",1,79
"train",1,80
"train",1,81
"train",1,84
"train",1,89
"train",1,91
"train",1,93
"train",1,109
"train",1,119
"train",1,142
"train",1,156
"train",1,163
"train",1,172
"train",1,173
"train",1,178
"train",1,195
"train",1,200
"train",1,206
"train",1,209
"train",1,227
"train",1,235
"train",1,236
"train",1,240
"train",1,242
"train",1,243
"train",1,254
"train",1,258
"train",1,264
"train",1,278
"train",1,280
"train",1,294
"train",1,301
"train",1,303
"train",1,304
"train",1,319
"train",1,327
"train",1,338
"train",1,353
"train",1,354
"train",1,358
"train",1,362
"train",1,374
"train",1,376
"train",1,390
"train",1,400
"train",1,402
"train",1,409
"train",1,410
"train",1,411
"train",1,412
"train",1,416
"train",1,425
"train",1,426
"train",1,427
"train",1,428
"train",1,429
"train",1,444
"train",1,449
"train",1,458
"train",1,459
"train",1,463
"train",1,473
"train",1,477
"train",1,491
"train",1,494
"train",1,512
"train",1,519
"train",1,524
"train",1,530
"train",1,532
"train",1,533
"train",1,536
"train",1,547
"train",1,551
"train",1,552
"train",1,557
"train",1,560
"train",1,581
"train",1,601
"train",1,609
"train",1,619
"train",1,634
"train",1,639
"train",1,642
"train",1,658
"train",1,662
"train",1,664
"train",1,672
"train",1,680
"train",1,688
"train",1,690
"train",1,691
"train",1,695
"train",1,696
"train",1,700
"train",1,708
"train",1,709
"train",1,710
"train",1,716
"train",1,720
"train",1,722
"train",1,725
"train",1,726
"train",1,736
"train",1,743
"train",1,756
"train",1,759
"train",1,760
"train",1,765
"train",1,769
"train",1,776
"train",1,783
"train",1,789
"train",1,790
"train",1,792
"train",1,796
"train",1,810
"train",1,812
"train",1,817
"train",1,819
"train",1,823
"train",1,838
"train",1,840
"train",1,844
"train",1,862
"train",1,873
"train",1,879
"train",1,885
"train",1,887
"train",1,892
"train",1,901
"train",1,913
"train",1,917
"train",1,921
"train",1,924
"train",1,930
"train",1,941
"train",1,952
"train",1,953
"train",1,955
"train",1,957
"train",1,958
"train",1,965
"train",1,973
"train",1,975
"train",1,977
"train",1,984
"train",1,987
"train",1,999
"train",1,1008
"train",1,1013
"train",1,1019
"train",1,1025
"train",1,1028
"train",1,1031
"train",1,1035
"train",1,1044
"train",1,1047
"train",1,1055
"train",1,1063
"train",1,1064
"train",1,1070
"train",1,1078
"train",1,1087
"train",1,1090
"train",1,1094
"train",1,1109
"train",1,1124
"train",1,1141
"train",1,1145
"train",1,1164
"train",1,1181
"train",1,1189
"train",1,1197
"train",1,1199
"train",1,1200
"train",1,1201
"train",1,1225
"train",1,1230
"train",1,1247
"train",1,1254
"train",1,1256
"train",1,1259
"train",1,1261
"train",1,1274
"train",1,1283
"train",1,1287
"train",1,1289
"train",1,1315
"train",1,1318
"train",1,1319
"train",1,1330
"train",1,1333
"train",1,1335
"train",1,1339
"train",1,1350
"train",1,1355
"train",1,1367
"train",1,1374
"train",1,1378
"train",1,1382
"train",1,1383
"train",1,1411
"train",1,1419
"train",1,1422
"train",1,1423
"train",1,1436
"train",1,1445
"train",1,1458
"train",1,1460
"train",1,1462
"train",1,1465
"train",1,1474
"train",1,1479
"train",1,1491
"train",1,1492
"train",1,1494
"train",1,1502
"train",1,1508
"train",1,1524
"train",1,1526
"train",1,1527
"train",1,1529
"train",1,1530
"train",1,1533
"train",1,1538
"train",1,1548
"train",1,1552
"train",1,1553
"train",1,1557
"train",1,1560
"train",1,1570
"train",1,1575
"train",1,1595
"train",1,1603
"train",1,1620
"train",1,1626
"train",1,1627
"train",1,1630
"train",1,1638
"train",1,1646
"train",1,1650
"train",1,1651
"train",1,1652
"train",1,1662
"train",1,1674
"train",1,1678
"train",1,1706
"train",1,1710
"train",1,1725
"train",1,1728
"train",1,1738
"train",1,1741
"train",1,1752
"train",1,1764
"train",1,1785
"train",1,1794
"train",1,1797
"train",1,1813
"train",1,1816
"train",1,1819
"train",1,1834
"train",1,1848
"train",1,1851
"train",1,1855
"train",1,1857
"train",1,1860
"train",1,1864
"train",1,1867
"train",1,1868
"train",1,1871
"train",1,1885
"train",1,1894
"train",1,1897
"train",1,1902
"train",1,1913
"train",1,1923
"train",1,1931
"train",1,1933
"train",1,1959
"train",1,1960
"train",1,1961
"train",1,1962
"train",1,1967
"train",1,1968
"train",1,1977
"train",1,1978
"train",1,1990
"train",1,1991
"train",1,1995
"train",1,1998
"train",1,2000
"train",1,2001
"train",1,2007
"train",1,2011
"train",1,2012
"train",1,2014
"train",1,2027
"train",1,2037
"train",1,2039
"train",1,2047
"train",1,2050
"train",1,2051
"train",1,2063
"train",1,2070
"train",1,2077
"train",1,2079
"train",1,2081
"train",1,2091
"train",1,2100
"train",1,2112
"train",1,2123
"train",1,2128
"train",1,2130
"train",1,2136
"train",1,2139
"train",1,2140
"train",1,2153
"train",1,2158
"train",1,2161
"train",1,2184
"train",1,2187
"train",1,2191
"train",1,2198
"train",1,2200
"train",1,2201
"train",1,2202
"train",1,2207
"train",1,2211
"train",1,2214
"train",1,2218
"train",1,2221
"train",1,2233
"train",1,2235
"train",1,2243
"train",1,2251
"train",1,2261
"train",1,2267
"train",1,2278
"train",1,2280
"train",1,2288
"train",1,2290
"train",1,2310
"train",1,2312
"train",1,2327
"train",1,2330
"train",1,2335
"train",1,2339
"train",1,2343
"train",1,2344
"train",1,2347
"train",1,2352
"train",1,2360
"train",1,2365
"train",1,2371
"train",1,2376
"train",1,2381
"train",1,2385
"train",1,2387
"train",1,2392
"train",1,2400
"train",1,2406
"train",1,2410
"train",1,2414
"train",1,2416
"train",1,2417
"train",1,2423
"train",1,2431
"train",1,2435
"train",1,2436
"train",1,2444
"train",1,2460
"train",1,2464
"train",1,2467
"train",1,2468
"train",1,2475
"train",1,2479
"train",1,2484
"train",1,2485
"train",1,2486
"train",1,2502
"train",1,2504
"train",1,2509
"train",1,2510
"train",1,2511
"train",1,2516
"train",1,2534
"train",1,2536
"train",1,2540
"train",1,2548
"train",1,2552
"train",1,2553
"train",1,2556
"train",1,2577
"train",1,2581
"train",1,2584
"train",1,2593
"train",1,2606
"train",1,2621
"train",1,2639
"train",1,2643
"train",1,2644
"train",1,2645
"train",1,2647
"train",1,2654
"train",1,2656
"train",1,2662
"train",1,2676
"train",1,2678
"train",1,2691
"train",1,2692
"train",1,2694
"train",1,2711
"train",1,2714
"train",1,2717
"train",1,2719
"train",1,2731
"train",1,2733
"train",1,2739
"train",1,2740
"train",1,2743
"train",1,2744
"train",1,2749
"train",1,2765
"train",1,2772
"train",1,2777
"train",1,2779
"train",1,2780
"train",1,2783
"train",1,2792
"train",1,2797
"train",1,2803
"train",1,2804
"train",1,2810
"train",1,2811
"train",1,2816
"train",1,2817
"train",1,2846
"train",1,2849
"train",1,2867
"train",1,2868
"train",1,2875
"train",1,2883
"train",1,2885
"train",1,2890
"train",1,2897
"train",1,2903
"train",1,2930
"train",1,2932
"train",1,2933
"train",1,2942
"train",1,2946
"train",1,2949
"train",1,2975
"train",1,2999
"train",1,3000
"train",1,3009
"train",1,3012
"train",1,3021
"train",1,3031
"train",1,3037
"train",1,3039
"train",1,3046
"train",1,3050
"train",1,3055
"train",1,3058
"train",1,3068
"train",1,3069
"train",1,3070
"train",1,3071
"train",1,3079
"train",1,3084
"train",1,3088
"train",1,3102
"train",1,3111
"train",1,3127
"train",1,3129
"train",1,3132
"train",1,3142
"train",1,3147
"train",1,3162
"train",1,3163
"train",1,3178
"train",1,3179
"train",1,3184
"train",1,3185
"train",1,3192
"train",1,3197
"train",1,3198
"train",1,3199
"train",1,3204
"train",1,3211
"train",1,3213
"train",1,3217
"train",1,3231
"train",1,3234
"train",1,3239
"train",1,3264
"train",1,3282
"train",1,3284
"train",1,3288
"train",1,3290
"train",1,3291
"train",1,3293
"train",1,3300
"train",1,3305
"train",1,3310
"train",1,3315
"train",1,3317
"train",1,3329
"train",1,3336
"train",1,3339
"train",1,3358
"train",1,3365
"train",1,3366
"train",1,3369
"train",1,3376
"train",1,3377
"train",1,3385
"train",1,3397
"train",1,3405
"train",1,3414
"train",1,3431
"train",1,3434
"train",1,3437
"train",1,3442
"train",1,3446
"train",1,3461
"train",1,3462
"train",1,3463
"train",1,3465
"train",1,3482
"train",1,3487
"train",1,3491
"train",1,3497
"train",1,3499
"train",1,3508
"train",1,3509
"train",1,3528
"train",1,3536
"train",1,3546
"train",1,3550
"train",1,3553
"train",1,3565
"train",1,3569
"train",1,3570
"train",1,3575
"train",1,3576
"train",1,3577
"train",1,3582
"train",1,3584
"train",1,3585
"train",1,3596
"train",1,3605
"train",1,3609
"train",1,3610
"train",1,3611
"train",1,3621
"train",1,3624
"train",1,3637
"train",1,3648
"train",1,3649
"train",1,3655
"train",1,3657
"train",1,3660
"train",1,3661
"train",1,3666
"train",1,3668
"train",1,3672
"train",1,3673
"train",1,3677
"train",1,3689
"train",1,3692
"train",1,3694
"train",1,3708
"train",1,3716
"train",1,3718
"train",1,3719
"train",1,3726
"train",1,3733
"train",1,3737
"train",1,3748
"train",1,3754
"train",1,3772
"train",1,3781
"train",1,3790
"train",1,3796
"train",1,3806
"train",1,3807
"train",1,3810
"train",1,3828
"train",1,3833
"train",1,3837
"train",1,3844
"train",1,3849
"train",1,3854
"train",1,3865
"train",1,3867
"train",1,3869
"train",1,3870
"train",1,3879
"train",1,3896
"train",1,3910
"train",1,3914
"train",1,3918
"train",1,3920
"train",1,3928
"train",1,3933
"train",1,3937
"train",1,3942
"train",1,3958
"train",1,3964
"train",1,3966
"train",1,3971
"train",1,3973
"train",1,3981
"train",1,3984
"train",1,3988
"train",1,3995
"train",1,4005
"train",1,4011
"train",1,4022
"train",1,4033
"train",1,4038
"train",1,4043
"train",1,4047
"train",1,4051
"train",1,4058
"train",1,4076
"train",1,4077
"train",1,4086
"train",1,4099
"train",1,4104
"train",1,4109
"train",1,4117
"train",1,4123
"train",1,4129
"train",1,4136
"train",1,4144
"train",1,4153
"train",1,4155
"train",1,4159
"train",1,4162
"train",1,4166
"train",1,4175
"train",1,4183
"train",1,4186
"train",1,4207
"train",1,4208
"train",1,4217
"train",1,4233
"train",1,4236
"train",1,4253
"train",1,4267
"train",1,4274
"train",1,4278
"train",1,4288
"train",1,4293
"train",1,4304
"train",1,4305
"train",1,4318
"train",1,4335
"train",1,4346
"train",1,4366
"train",1,4375
"train",1,4380
"train",1,4382
"train",1,4386
"train",1,4393
"train",1,4394
"train",1,4398
"train",1,4402
"train",1,4403
"train",1,4407
"train",1,4410
"train",1,4412
"train",1,4417
"train",1,4418
"train",1,4440
"train",1,4451
"train",1,4457
"train",1,4476
"train",1,4479
"train",1,4484
"train",1,4487
"train",1,4495
"train",1,4496
"train",1,4501
"train",1,4505
"train",1,4506
"train",1,4511
"train",1,4533
"train",1,4538
"train",1,4548
"train",1,4549
"train",1,4552
"train",1,4558
"train",1,4565
"train",1,4575
"train",1,4590
"train",1,4591
"train",1,4608
"train",1,4611
"train",1,4621
"train",1,4624
"train",1,4628
"train",1,4633
"train",1,4635
"train",1,4636
"train",1,4648
"train",1,4649
"train",1,4661
"train",1,4664
"train",1,4665
"train",1,4667
"train",1,4669
"train",1,4673
"train",1,4676
"train",1,4682
"train",1,4693
"train",1,4702
"train",1,4719
"train",1,4721
"train",1,4722
"train",1,4733
"train",1,4754
"train",1,4763
"train",1,4768
"train",1,4782
"train",1,4815
"train",1,4818
"train",1,4821
"train",1,4827
"train",1,4830
"train",1,4831
"train",1,4837
"train",1,4840
"train",1,4842
"train",1,4843
"train",1,4853
"train",1,4864
"train",1,4868
"train",1,4869
"train",1,4875
"train",1,4880
"train",1,4883
"train",1,4884
"train",1,4890
"train",1,4896
"train",1,4914
"train",1,4927
"train",1,4929
"train",1,4935
"train",1,4943
"train",1,4956
"train",1,4957
"train",1,4959
"train",1,4964
"train",1,4965
"train",1,4967
"train",1,4996
"train",1,4998
"train",1,5002
"train",1,5010
"train",1,5013
"train",1,5020
"train",1,5030
"train",1,5031
"train",1,5043
"train",1,5044
"train",1,5049
"train",1,5050
"train",1,5065
"train",1,5066
"train",1,5068
"train",1,5078
"train",1,5081
"train",1,5104
"train",1,5107
"train",1,5114
"train",1,5118
"train",1,5141
"train",1,5145
"train",1,5157
"train",1,5159
"train",1,5161
"train",1,5170
"train",1,5182
"train",1,5193
"train",1,5196
"train",1,5198
"train",1,5201
"train",1,5212
"train",1,5221
"train",1,5222
"train",1,5224
"train",1,5239
"train",1,5240
"train",1,5242
"train",1,5253
"train",1,5272
"train",1,5283
"train",1,5285
"train",1,5288
"train",1,5290
"train",1,5292
"train",1,5295
"train",1,5303
"train",1,5305
"train",1,5309
"train",1,5312
"train",1,5317
"train",1,5332
"train",1,5333
"train",1,5334
"train",1,5336
"train",1,5342
"train",1,5345
"train",1,5346
"train",1,5354
"train",1,5361
"train",1,5378
"train",1,5380
"train",1,5386
"train",1,5392
"train",1,5417
"train",1,5438
"train",1,5439
"train",1,5450
"train",1,5453
"train",1,5456
"train",1,5468
"train",1,5481
"train",1,5483
"train",1,5489
"train",1,5498
"train",1,5506
"train",1,5528
"train",1,5534
"train",1,5537
"train",1,5544
"train",1,5548
"train",1,5553
"train",1,5559
"train",1,5566
"train",1,5574
"train",1,5576
"train",1,5581
"train",1,5587
"train",1,5589
"train",1,5590
"train",1,5621
"train",1,5629
"train",1,5630
"train",1,5633
"train",1,5635
"train",1,5639
"train",1,5644
"train",1,5649
"train",1,5655
"train",1,5664
"train",1,5681
"train",1,5682
"train",1,5685
"train",1,5687
"train",1,5691
"train",1,5694
"train",1,5705
"train",1,5735
"train",1,5738
"train",1,5739
"train",1,5741
"train",1,5746
"train",1,5751
"train",1,5766
"train",1,5768
"train",1,5771
"train",1,5772
"train",1,5786
"train",1,5787
"train",1,5798
"train",1,5802
"train",1,5816
"train",1,5817
"train",1,5824
"train",1,5827
"train",1,5832
"train",1,5837
"train",1,5841
"train",1,5846
"train",1,5852
"train",1,5869
"train",1,5874
"train",1,5883
"train",1,5884
"train",1,5887
"train",1,5889
"train",1,5893
"train",1,5905
"train",1,5911
"train",1,5914
"train",1,5916
"train",1,5919
"train",1,5920
"train",1,5925
"train",1,5927
"train",1,5933
"train",1,5943
"train",1,5948
"train",1,5955
"train",1,5957
"train",1,5960
"train",1,5965
"train",1,5971
"train",1,5974
"train",1,5985
"train",1,5986
"train",1,5998
"train",1,6003
"train",1,6011
"train",1,6045
"train",1,6048
"train",1,6056
"train",1,6072
"train",1,6073
"train",1,6075
"train",1,6076
"train",1,6078
"train",1,6085
"train",1,6100
"train",1,6116
"train",1,6123
"train",1,6143
"train",1,6154
"train",1,6161
"train",1,6168
"train",1,6171
"train",1,6195
"train",1,6199
"train",1,6205
"train",1,6222
"train",1,6233
"train",1,6251
"train",1,6252
"train",1,6270
