"set","iteration","row_id"
"train",1,5
"train",1,7
"train",1,15
"train",1,36
"train",1,47
"train",1,51
"train",1,64
"train",1,65
"train",1,67
"train",1,71
"train",1,78
"train",1,87
"train",1,88
"train",1,92
"train",1,94
"train",1,98
"train",1,99
"train",1,102
"train",1,103
"train",1,104
"train",1,105
"train",1,112
"train",1,113
"train",1,115
"train",1,119
"train",1,125
"train",1,129
"train",1,149
"train",1,153
"train",1,154
"train",1,163
"train",1,168
"train",1,174
"train",1,181
"train",1,197
"train",1,206
"train",1,213
"train",1,215
"train",1,216
"train",1,222
"train",1,229
"train",1,245
"train",1,248
"train",1,251
"train",1,257
"train",1,268
"train",1,275
"train",1,292
"train",1,295
"train",1,298
"train",1,320
"train",1,332
"train",1,354
"train",1,4
"train",1,14
"train",1,16
"train",1,18
"train",1,20
"train",1,25
"train",1,27
"train",1,28
"train",1,33
"train",1,35
"train",1,44
"train",1,48
"train",1,49
"train",1,55
"train",1,60
"train",1,62
"train",1,66
"train",1,83
"train",1,85
"train",1,89
"train",1,96
"train",1,116
"train",1,132
"train",1,144
"train",1,147
"train",1,156
"train",1,160
"train",1,166
"train",1,182
"train",1,191
"train",1,208
"train",1,212
"train",1,214
"train",1,218
"train",1,226
"train",1,236
"train",1,254
"train",1,263
"train",1,269
"train",1,270
"train",1,271
"train",1,272
"train",1,276
"train",1,290
"train",1,297
"train",1,300
"train",1,307
"train",1,310
"train",1,312
"train",1,318
"train",1,323
"train",1,345
"train",1,349
"train",1,11
"train",1,45
"train",1,52
"train",1,53
"train",1,59
"train",1,61
"train",1,63
"train",1,84
"train",1,95
"train",1,100
"train",1,109
"train",1,114
"train",1,118
"train",1,122
"train",1,123
"train",1,126
"train",1,130
"train",1,139
"train",1,140
"train",1,141
"train",1,146
"train",1,148
"train",1,155
"train",1,159
"train",1,167
"train",1,170
"train",1,171
"train",1,172
"train",1,180
"train",1,200
"train",1,201
"train",1,204
"train",1,205
"train",1,228
"train",1,234
"train",1,241
"train",1,244
"train",1,262
"train",1,273
"train",1,274
"train",1,280
"train",1,287
"train",1,289
"train",1,301
"train",1,302
"train",1,304
"train",1,315
"train",1,316
"train",1,322
"train",1,336
"train",1,340
"train",1,342
"train",1,343
"train",1,1
"train",1,3
"train",1,6
"train",1,12
"train",1,13
"train",1,19
"train",1,26
"train",1,29
"train",1,34
"train",1,39
"train",1,54
"train",1,56
"train",1,70
"train",1,72
"train",1,73
"train",1,80
"train",1,90
"train",1,134
"train",1,135
"train",1,138
"train",1,151
"train",1,152
"train",1,157
"train",1,161
"train",1,176
"train",1,178
"train",1,179
"train",1,183
"train",1,187
"train",1,194
"train",1,203
"train",1,209
"train",1,223
"train",1,227
"train",1,233
"train",1,235
"train",1,249
"train",1,256
"train",1,258
"train",1,259
"train",1,264
"train",1,265
"train",1,277
"train",1,279
"train",1,281
"train",1,294
"train",1,299
"train",1,305
"train",1,314
"train",1,325
"train",1,334
"train",1,337
"train",1,348
"train",1,10
"train",1,30
"train",1,38
"train",1,69
"train",1,110
"train",1,188
"train",1,193
"train",1,195
"train",1,196
"train",1,220
"train",1,231
"train",1,247
"train",1,253
"train",1,286
"train",1,288
"train",1,293
"train",1,339
"train",1,344
"train",1,357
"train",1,21
"train",1,22
"train",1,74
"train",1,81
"train",1,101
"train",1,121
"train",1,124
"train",1,173
"train",1,175
"train",1,189
"train",1,210
"train",1,217
"train",1,239
"train",1,303
"train",1,306
"train",1,319
"train",1,326
"train",1,351
"train",1,23
"train",1,79
"train",1,82
"train",1,131
"train",1,142
"train",1,224
"train",1,232
"train",1,284
"train",1,308
"train",1,313
"train",1,321
"train",1,324
"train",1,327
"train",1,328
"train",1,331
"train",1,335
"train",1,350
"train",1,353
"train",1,24
"train",1,86
"train",1,106
"train",1,107
"train",1,111
"train",1,145
"train",1,221
"train",1,225
"train",1,242
"train",1,246
"train",1,252
"train",1,255
"train",1,267
"train",1,317
"train",1,338
"train",1,347
"train",1,352
"train",1,356
"train",2,2
"train",2,9
"train",2,31
"train",2,32
"train",2,37
"train",2,41
"train",2,42
"train",2,43
"train",2,46
"train",2,50
"train",2,57
"train",2,58
"train",2,68
"train",2,75
"train",2,76
"train",2,77
"train",2,91
"train",2,108
"train",2,117
"train",2,127
"train",2,128
"train",2,136
"train",2,137
"train",2,143
"train",2,150
"train",2,158
"train",2,165
"train",2,169
"train",2,177
"train",2,184
"train",2,186
"train",2,192
"train",2,199
"train",2,202
"train",2,211
"train",2,219
"train",2,230
"train",2,237
"train",2,243
"train",2,250
"train",2,261
"train",2,266
"train",2,282
"train",2,283
"train",2,285
"train",2,291
"train",2,296
"train",2,309
"train",2,311
"train",2,329
"train",2,330
"train",2,333
"train",2,341
"train",2,358
"train",2,4
"train",2,14
"train",2,16
"train",2,18
"train",2,20
"train",2,25
"train",2,27
"train",2,28
"train",2,33
"train",2,35
"train",2,44
"train",2,48
"train",2,49
"train",2,55
"train",2,60
"train",2,62
"train",2,66
"train",2,83
"train",2,85
"train",2,89
"train",2,96
"train",2,116
"train",2,132
"train",2,144
"train",2,147
"train",2,156
"train",2,160
"train",2,166
"train",2,182
"train",2,191
"train",2,208
"train",2,212
"train",2,214
"train",2,218
"train",2,226
"train",2,236
"train",2,254
"train",2,263
"train",2,269
"train",2,270
"train",2,271
"train",2,272
"train",2,276
"train",2,290
"train",2,297
"train",2,300
"train",2,307
"train",2,310
"train",2,312
"train",2,318
"train",2,323
"train",2,345
"train",2,349
"train",2,11
"train",2,45
"train",2,52
"train",2,53
"train",2,59
"train",2,61
"train",2,63
"train",2,84
"train",2,95
"train",2,100
"train",2,109
"train",2,114
"train",2,118
"train",2,122
"train",2,123
"train",2,126
"train",2,130
"train",2,139
"train",2,140
"train",2,141
"train",2,146
"train",2,148
"train",2,155
"train",2,159
"train",2,167
"train",2,170
"train",2,171
"train",2,172
"train",2,180
"train",2,200
"train",2,201
"train",2,204
"train",2,205
"train",2,228
"train",2,234
"train",2,241
"train",2,244
"train",2,262
"train",2,273
"train",2,274
"train",2,280
"train",2,287
"train",2,289
"train",2,301
"train",2,302
"train",2,304
"train",2,315
"train",2,316
"train",2,322
"train",2,336
"train",2,340
"train",2,342
"train",2,343
"train",2,1
"train",2,3
"train",2,6
"train",2,12
"train",2,13
"train",2,19
"train",2,26
"train",2,29
"train",2,34
"train",2,39
"train",2,54
"train",2,56
"train",2,70
"train",2,72
"train",2,73
"train",2,80
"train",2,90
"train",2,134
"train",2,135
"train",2,138
"train",2,151
"train",2,152
"train",2,157
"train",2,161
"train",2,176
"train",2,178
"train",2,179
"train",2,183
"train",2,187
"train",2,194
"train",2,203
"train",2,209
"train",2,223
"train",2,227
"train",2,233
"train",2,235
"train",2,249
"train",2,256
"train",2,258
"train",2,259
"train",2,264
"train",2,265
"train",2,277
"train",2,279
"train",2,281
"train",2,294
"train",2,299
"train",2,305
"train",2,314
"train",2,325
"train",2,334
"train",2,337
"train",2,348
"train",2,8
"train",2,17
"train",2,40
"train",2,93
"train",2,97
"train",2,120
"train",2,133
"train",2,162
"train",2,164
"train",2,185
"train",2,190
"train",2,198
"train",2,207
"train",2,238
"train",2,240
"train",2,260
"train",2,278
"train",2,346
"train",2,355
"train",2,21
"train",2,22
"train",2,74
"train",2,81
"train",2,101
"train",2,121
"train",2,124
"train",2,173
"train",2,175
"train",2,189
"train",2,210
"train",2,217
"train",2,239
"train",2,303
"train",2,306
"train",2,319
"train",2,326
"train",2,351
"train",2,23
"train",2,79
"train",2,82
"train",2,131
"train",2,142
"train",2,224
"train",2,232
"train",2,284
"train",2,308
"train",2,313
"train",2,321
"train",2,324
"train",2,327
"train",2,328
"train",2,331
"train",2,335
"train",2,350
"train",2,353
"train",2,24
"train",2,86
"train",2,106
"train",2,107
"train",2,111
"train",2,145
"train",2,221
"train",2,225
"train",2,242
"train",2,246
"train",2,252
"train",2,255
"train",2,267
"train",2,317
"train",2,338
"train",2,347
"train",2,352
"train",2,356
"train",3,2
"train",3,9
"train",3,31
"train",3,32
"train",3,37
"train",3,41
"train",3,42
"train",3,43
"train",3,46
"train",3,50
"train",3,57
"train",3,58
"train",3,68
"train",3,75
"train",3,76
"train",3,77
"train",3,91
"train",3,108
"train",3,117
"train",3,127
"train",3,128
"train",3,136
"train",3,137
"train",3,143
"train",3,150
"train",3,158
"train",3,165
"train",3,169
"train",3,177
"train",3,184
"train",3,186
"train",3,192
"train",3,199
"train",3,202
"train",3,211
"train",3,219
"train",3,230
"train",3,237
"train",3,243
